Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),61.7,45.2
Population below age 15 years (%),32.9,39.8
"Sex ratio of the total population (females per 1,000 males)",987,916
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",818,824
Children under age 5 years whose birth was registered with the civil authority (%),91.3,52.7
Deaths in the last 3 years registered with the civil authority (%),83.1,na
Population living in households with electricity (%),97.3,75.9
Population living in households with an improved drinking-water source (%),95.2,93.7
Population living in households that use an improved sanitation facility(%),75.7,37.4
Households using clean fuel for cooking (%),30.9,17.1
Households using iodized salt (%),93.0,90.7
Households with any usual member covered under a health insurance/financing scheme (%),93.7,31.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.5,na
Women who are literate (%),62.2,na
Women with 10 or more years of schooling (%),18.7,9.0
Women age 20-24 years married before age 18 years (%),28.9,48.4
Births in the 5 years preceding the survey that are third or higher order (%),4.5,4.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0,8.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),82.8,34.1
Any method (%),83.0,53.5
Any modern method (%),68.2,45.0
Female sterilization (%),49.3,36.6
Male sterilization (%),0.3,0.1
IUD/PPIUD (%),1.5,0.8
Pill (%),3.3,1.4
Condom (%),12.5,5.6
Injectables (%),0.9,0.5
Total unmet need(%),5.6,13.5
Unmet need for spacing (%),2.8,8.0
Health worker ever talked to female non-users about family planning (%),25.5,11.3
Current users ever told about side effects of current method (%),54.4,42.9
Mothers who had an antenatal check-up in the first trimester (%),64.6,40.9
Mothers who had at least 4 antenatal care visits (%),47.6,18.4
Mothers whose last birth was protected against neonatal tetanus (%),96.2,75.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.5,10.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.1,5.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.4,78.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),80.1,43.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,110","1,473"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.7),1.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),79.0,na
Institutional births (%),90.0,49.8
Institutional births in public facility (%),81.1,42.2
Home births that were conducted by skilled health personnel (%),3.8,12.7
Births attended by skilled health personnel (%),93.6,62.0
Births delivered by caesarean section (%),9.3,4.6
Births in a private health facility that were delivered by caesarean section (%),23.9,(38.3)
Births in a public health facility that were delivered by caesarean section (%),8.9,4.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),72.0,38.6
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),74.7,(65.7)
Children age 12-23 months who have received BCG (%),89.8,81.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),76.1,53.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.3,55.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),80.3,56.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),18.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),46.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),78.3,40.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.7,28.2
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.8,88.5
Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.1,5.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.7,7.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.7),(55.2)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(25.3),(10.1)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(70.6),(73.4)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.1,2.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),71.3,90.4
Children under age 3 years breastfed within one hour of birth (%),36.4,30.9
Children under age 6 months exclusively breastfed (%),63.2,55.6
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(24.4)
Breastfeeding children age 6-23 months receiving an adequate diet (%),6.4,4.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),6.1,4.3
Children under 5 years who are stunted (height-for-age) (%),25.5,37.4
Children under 5 years who are wasted (weight-for-height) (%),25.0,21.9
Children under 5 years who are severely wasted (weight-for-height) (%),13.8,10.2
Children under 5 years who are underweight (weight-for-age) (%),31.7,37.4
Children under 5 years who are overweight (weight-for-height) (%),2.7,0.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.3,25.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),11.2,12.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),62.3,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.6,42.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),44.7,32.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(35.5),48.0
All women age 15-49 years who are anaemic (%),44.4,33.6
All women age 15-19 years who are anaemic (%),53.8,32.9
Women - Blood sugar level - high (141-160 mg/dl)(%),2.7,na
Women - Blood sugar level - very high (>160 mg/dl)(%),2.0,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),4.9,na
Men - Blood sugar level - high (141-160 mg/dl)(%),5.0,na
Men - Blood sugar level - very high (>160 mg/dl) (%),3.2,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.8,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),6.7,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),1.7,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),9.7,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.1,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),15.8,na
Ever undergone a screening test for cervical cancer (%),0.0,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.0,na
Women age 15 years and above who use any kind of tobacco (%),5.0,na
Men age 15 years and above who use any kind of tobacco (%),44.9,na
Women age 15 years and above who consume alcohol (%),0.1,na
Men age 15 years and above who consume alcohol (%),10.5,na
