,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),66.8,60.7
1,Population below age 15 years (%),24.8,27.0
2,"Sex ratio of the total population (females per 1,000 males)","1,063","1,020"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",946,891
4,Children under age 5 years whose birth was registered with the civil authority (%),93.2,77.1
5,Deaths in the last 3 years registered with the civil authority (%),77.6,na
6,Population living in households with electricity (%),99.0,96.2
7,Population living in households with an improved drinking-water source (%),98.4,97.8
8,Population living in households that use an improved sanitation facility(%),79.0,66.8
9,Households using clean fuel for cooking (%),55.5,51.0
10,Households using iodized salt (%),94.9,96.9
11,Households with any usual member covered under a health insurance/financing scheme (%),86.1,23.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.1,na
13,Women who are literate (%),74.4,na
14,Women with 10 or more years of schooling (%),45.2,38.2
15,Women age 20-24 years married before age 18 years (%),18.1,23.8
16,Births in the 5 years preceding the survey that are third or higher order (%),2.1,1.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.8,4.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.6,78.8
19,Any method (%),77.8,63.7
20,Any modern method (%),69.1,58.7
21,Female sterilization (%),48.3,47.3
22,Male sterilization (%),1.0,0.7
23,IUD/PPIUD (%),0.5,1.0
24,Pill (%),4.0,1.9
25,Condom (%),14.4,7.7
26,Injectables (%),0.2,0.0
27,Total unmet need(%),7.1,12.7
28,Unmet need for spacing (%),3.7,5.9
29,Health worker ever talked to female non-users about family planning (%),26.8,21.7
30,Current users ever told about side effects of current method (%),52.3,51.7
31,Mothers who had an antenatal check-up in the first trimester (%),80.1,63.3
32,Mothers who had at least 4 antenatal care visits (%),49.2,45.4
33,Mothers whose last birth was protected against neonatal tetanus (%),91.6,94.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),38.8,30.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.5,6.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9,94.3
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.6,71.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,435",882
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),86.6,na
41,Institutional births (%),97.1,96.9
42,Institutional births in public facility (%),64.8,59.4
43,Home births that were conducted by skilled health personnel (%),1.5,1.0
44,Births attended by skilled health personnel (%),98.6,98.0
45,Births delivered by caesarean section (%),13.7,6.5
46,Births in a private health facility that were delivered by caesarean section (%),30.4,14.7
47,Births in a public health facility that were delivered by caesarean section (%),5.9,1.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),88.7,65.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.0,(72.3)
50,Children age 12-23 months who have received BCG (%),98.5,94.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.2,75.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),96.0,82.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.6,89.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.8,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),52.4,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.3,62.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.9,53.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4,97.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6,1.5
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.7,7.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(64.8)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(6.4)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(86.7)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.1,2.7
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,(89.6)
66,Children under age 3 years breastfed within one hour of birth (%),43.3,26.9
67,Children under age 6 months exclusively breastfed (%),(83.5),(89.1)
