District,Agency,Households,Women,Men
Ajmer,Indian Institute of Health Management Research (IIHMR),894,1082,146
Alwar,Indian Institute of Health Management Research (IIHMR),935,1182,152
Banswara,Indian Institute of Health Management Research (IIHMR),976,1172,170
Baran,Indian Institute of Health Management Research (IIHMR),985,1301,227
Barmer,Indian Institute of Health Management Research (IIHMR),973,1621,237
Bharatpur,Indian Institute of Health Management Research (IIHMR),950,1225,168
Bhilwara,Indian Institute of Health Management Research (IIHMR),952,1147,171
Bikaner,Indian Institute of Health Management Research (IIHMR),966,1473,241
Bundi,Indian Institute of Health Management Research (IIHMR),984,1253,190
Chittaurgarh,Indian Institute of Health Management Research (IIHMR),972,1090,141
Churu,Indian Institute of Health Management Research (IIHMR),982,1493,225
Dausa,Indian Institute of Health Management Research (IIHMR),982,1332,208
Dhaulpur,Indian Institute of Health Management Research (IIHMR),974,1220,187
Dungarpur,Indian Institute of Health Management Research (IIHMR),972,1359,223
Ganganagar,Indian Institute of Health Management Research (IIHMR),985,1409,223
Hanumangarh,Indian Institute of Health Management Research (IIHMR),989,1372,223
Jaipur,Indian Institute of Health Management Research (IIHMR),957,1241,198
Jaisalmer,Indian Institute of Health Management Research (IIHMR),979,1537,237
Jalor,Indian Institute of Health Management Research (IIHMR),927,1318,193
Jhalawar,Indian Institute of Health Management Research (IIHMR),977,1209,177
Jhunjhunun,Indian Institute of Health Management Research (IIHMR),976,1388,186
Jodhpur,Indian Institute of Health Management Research (IIHMR),978,1535,239
Karauli,Indian Institute of Health Management Research (IIHMR),979,1167,176
Kota,Indian Institute of Health Management Research (IIHMR),979,1278,158
Nagaur,Indian Institute of Health Management Research (IIHMR),985,1601,221
Pali,Indian Institute of Health Management Research (IIHMR),929,1236,159
Pratapgarh,Indian Institute of Health Management Research (IIHMR),978,1199,177
Rajsamand,Indian Institute of Health Management Research (IIHMR),919,1153,152
Sawai Madhopur,Indian Institute of Health Management Research (IIHMR),934,1118,177
Sikar,Indian Institute of Health Management Research (IIHMR),971,1458,203
Sirohi,Indian Institute of Health Management Research (IIHMR),951,1304,190
Tonk,Indian Institute of Health Management Research (IIHMR),966,1240,187
Udaipur,Indian Institute of Health Management Research (IIHMR),961,1277,191
