Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),84.2,78.8
Population below age 15 years (%),19.3,20.9
"Sex ratio of the total population (females per 1,000 males)","1,061",994
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",952,798
Children under age 5 years whose birth was registered with the civil authority (%),98.5,97.2
Deaths in the last 3 years registered with the civil authority (%),96.2,na
Population living in households with electricity (%),99.4,98.9
Population living in households with an improved drinking-water source (%),99.9,97.2
Population living in households that use an improved sanitation facility(%),78.5,58.1
Households using clean fuel for cooking (%),95.5,85.1
Households using iodized salt (%),98.8,90.7
Households with any usual member covered under a health insurance/financing scheme (%),61.0,76.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(52.9),na
Women who are literate (%),89.3,na
Women with 10 or more years of schooling (%),62.8,51.6
Women age 20-24 years married before age 18 years (%),19.8,19.9
Births in the 5 years preceding the survey that are third or higher order (%),1.3,1.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.3,3.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.7,96.3
Any method (%),66.5,65.4
Any modern method (%),62.0,64.8
Female sterilization (%),53.1,61.8
Male sterilization (%),0.0,0.1
IUD/PPIUD (%),5.0,2.0
Pill (%),0.0,0.1
Condom (%),3.1,0.4
Injectables (%),0.0,0.1
Total unmet need(%),9.1,8.0
Unmet need for spacing (%),2.0,3.5
Health worker ever talked to female non-users about family planning (%),40.9,38.5
Current users ever told about side effects of current method (%),88.8,77.5
Mothers who had an antenatal check-up in the first trimester (%),72.6,77.3
Mothers who had at least 4 antenatal care visits (%),90.0,88.5
Mothers whose last birth was protected against neonatal tetanus (%),91.8,85.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),91.5,75.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),76.0,39.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),95.4,89.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,609","2,534"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),98.6,na
Institutional births (%),100.0,99.6
Institutional births in public facility (%),60.1,65.5
Home births that were conducted by skilled health personnel (%),0.0,0.0
Births attended by skilled health personnel (%),100.0,99.3
Births delivered by caesarean section (%),50.9,41.4
Births in a private health facility that were delivered by caesarean section (%),73.3,64.3
Births in a public health facility that were delivered by caesarean section (%),35.9,29.6
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(94.5),(80.7)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.5),(92.1)
Children age 12-23 months who have received BCG (%),(100.0),(97.7)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(98.3),(87.6)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.5),(91.7)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(98.3),(93.0)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(50.2),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(86.9),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(90.8),(83.3)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.2,68.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(78.0),(90.2)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(22.0),(9.8)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.9,7.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2,2.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,(93.2)
Children under age 3 years breastfed within one hour of birth (%),65.0,59.9
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(9.4),18.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),(11.6),36.1
Children under 5 years who are stunted (height-for-age) (%),23.0,27.3
Children under 5 years who are wasted (weight-for-height) (%),7.0,21.3
Children under 5 years who are severely wasted (weight-for-height) (%),2.7,8.9
Children under 5 years who are underweight (weight-for-age) (%),18.5,22.9
Children under 5 years who are overweight (weight-for-height) (%),4.2,4.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.1,13.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),50.0,34.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),56.8,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),37.8,43.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.8,54.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(51.0),(40.5)
All women age 15-49 years who are anaemic (%),48.9,54.3
All women age 15-19 years who are anaemic (%),51.4,54.9
Women - Blood sugar level - high (141-160 mg/dl)(%),6.8,na
Women - Blood sugar level - very high (>160 mg/dl)(%),10.3,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.7,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.3,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.9,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),29.2,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.3,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.6,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),33.3,na
Ever undergone a screening test for cervical cancer (%),13.3,na
Ever undergone a breast examination for breast cancer (%),8.4,na
Ever undergone an oral cavity examination for oral cancer (%),1.1,na
Women age 15 years and above who use any kind of tobacco (%),5.5,na
Men age 15 years and above who use any kind of tobacco (%),21.4,na
Women age 15 years and above who consume alcohol (%),0.5,na
Men age 15 years and above who consume alcohol (%),22.9,na
