Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),92.9,92.2
Population below age 15 years (%),20.8,24.2
"Sex ratio of the total population (females per 1,000 males)","1,121","1,110"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",880,"1,129"
Children under age 5 years whose birth was registered with the civil authority (%),98.9,100.0
Deaths in the last 3 years registered with the civil authority (%),100.0,na
Population living in households with electricity (%),99.8,99.5
Population living in households with an improved drinking-water source (%),98.2,95.4
Population living in households that use an improved sanitation facility(%),96.2,85.8
Households using clean fuel for cooking (%),74.4,59.7
Households using iodized salt (%),97.2,88.9
Households with any usual member covered under a health insurance/financing scheme (%),64.1,54.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(28.4),na
Women who are literate (%),97.7,na
Women with 10 or more years of schooling (%),77.1,73.9
Women age 20-24 years married before age 18 years (%),4.3,5.7
Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.0,1.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.6,92.8
Any method (%),70.3,45.1
Any modern method (%),66.6,43.8
Female sterilization (%),60.8,41.4
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),2.9,1.2
Pill (%),0.0,0.3
Condom (%),1.5,0.5
Injectables (%),0.0,0.4
Total unmet need(%),4.9,13.9
Unmet need for spacing (%),3.4,6.1
Health worker ever talked to female non-users about family planning (%),29.8,24.6
Current users ever told about side effects of current method (%),86.8,49.4
Mothers who had an antenatal check-up in the first trimester (%),65.6,52.4
Mothers who had at least 4 antenatal care visits (%),84.2,81.5
Mothers whose last birth was protected against neonatal tetanus (%),87.1,62.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),90.3,70.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),74.0,51.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3,77.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),86.0,76.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,170","5,538"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),88.2,na
Institutional births (%),100.0,99.3
Institutional births in public facility (%),39.4,30.0
Home births that were conducted by skilled health personnel (%),0.0,0.7
Births attended by skilled health personnel (%),100.0,98.9
Births delivered by caesarean section (%),68.3,51.3
Births in a private health facility that were delivered by caesarean section (%),78.0,56.7
Births in a public health facility that were delivered by caesarean section (%),53.3,40.3
