,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),73.1,72.5
1,Population below age 15 years (%),22.6,24.2
2,"Sex ratio of the total population (females per 1,000 males)","1,210","1,131"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",887,906
4,Children under age 5 years whose birth was registered with the civil authority (%),99.3,98.6
5,Deaths in the last 3 years registered with the civil authority (%),94.0,na
6,Population living in households with electricity (%),99.1,99.1
7,Population living in households with an improved drinking-water source (%),100.0,93.9
8,Population living in households that use an improved sanitation facility(%),57.4,37.8
9,Households using clean fuel for cooking (%),75.1,63.8
10,Households using iodized salt (%),92.7,84.0
11,Households with any usual member covered under a health insurance/financing scheme (%),75.5,81.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(32.6),na
13,Women who are literate (%),81.1,na
14,Women with 10 or more years of schooling (%),49.0,48.6
15,Women age 20-24 years married before age 18 years (%),21.4,14.0
16,Births in the 5 years preceding the survey that are third or higher order (%),1.3,1.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.7,8.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.8,91.1
19,Any method (%),63.1,41.0
20,Any modern method (%),58.9,39.1
21,Female sterilization (%),48.7,33.7
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),7.7,3.8
24,Pill (%),0.6,0.0
25,Condom (%),0.9,0.9
26,Injectables (%),0.0,0.0
27,Total unmet need(%),11.4,12.5
28,Unmet need for spacing (%),3.1,6.1
29,Health worker ever talked to female non-users about family planning (%),30.2,28.5
30,Current users ever told about side effects of current method (%),83.3,90.0
31,Mothers who had an antenatal check-up in the first trimester (%),85.8,67.3
32,Mothers who had at least 4 antenatal care visits (%),92.2,77.7
33,Mothers whose last birth was protected against neonatal tetanus (%),94.1,71.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),78.7,57.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),57.3,45.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,94.9
37,days of delivery (%),90.1,64.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,707","2,668"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),92.6,na
41,Institutional births (%),100.0,100.0
42,Institutional births in public facility (%),69.5,60.0
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),100.0,100.0
45,Births delivered by caesarean section (%),50.3,44.9
46,Births in a private health facility that were delivered by caesarean section (%),75.4,56.4
47,Births in a public health facility that were delivered by caesarean section (%),39.3,37.2
48,mother's recall (%),(92.5),(70.4)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.0),(63.9)
50,Children age 12-23 months who have received BCG (%),(94.9),(94.3)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(92.5),(78.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.5),(84.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(94.9),(84.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(51.4),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(49.7),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(92.5),(66.7)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.1,73.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(87.4)
