,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),85.2,81.7
2,Population below age 15 years (%),19.7,21.2
3,"Sex ratio of the total population (females per 1,000 males)","1,093","1,056"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,035",949
5,Children under age 5 years whose birth was registered with the civil authority (%),98.7,99.7
6,Deaths in the last 3 years registered with the civil authority (%),96.6,na
7,Population living in households with electricity (%),98.6,97.6
8,Population living in households with an improved drinking-water source (%),96.4,94.6
9,Population living in households that use an improved sanitation facility(%),83.6,63.8
10,Households using clean fuel for cooking (%),81.5,69.9
11,Households using iodized salt (%),98.4,87.2
12,Households with any usual member covered under a health insurance/financing scheme (%),74.5,71.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.3,na
15,Women who are literate (%),89.1,na
16,Women with 10 or more years of schooling (%),63.4,61.1
18,Women age 20-24 years married before age 18 years (%),11.1,18.7
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.2
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,1.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.7,90.9
23,Any method (%),77.9,56.5
24,Any modern method (%),74.7,55.8
25,Female sterilization (%),68.9,55.0
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),4.5,0.7
28,Pill (%),0.2,0.0
29,Condom (%),1.0,0.1
30,Injectables (%),0.1,0.0
32,Total unmet need(%),6.0,7.4
33,Unmet need for spacing (%),1.6,4.1
35,Health worker ever talked to female non-users about family planning (%),35.3,36.9
36,Current users ever told about side effects of current method (%),88.9,82.8
39,Mothers who had an antenatal check-up in the first trimester (%),80.0,72.7
40,Mothers who had at least 4 antenatal care visits (%),92.5,88.8
41,Mothers whose last birth was protected against neonatal tetanus (%),94.1,68.1
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),93.8,57.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),76.4,42.4
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,99.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,70.3
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,438","2,519"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.9,na
52,Institutional births (%),100.0,99.8
53,Institutional births in public facility (%),62.2,72.8
54,Home births that were conducted by skilled health personnel (%),0.0,0.0
55,Births attended by skilled health personnel (%),100.0,99.8
56,Births delivered by caesarean section (%),42.3,26.3
57,Births in a private health facility that were delivered by caesarean section (%),56.6,34.5
58,Births in a public health facility that were delivered by caesarean section (%),33.6,23.3
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(90.1),78.7
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(98.0),(86.0)
63,Children age 12-23 months who have received BCG (%),(100.0),100.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(91.9),88.4
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),98.4
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(96.2),90.3
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(38.5),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(81.9),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(95.8),80.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.4,85.4
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(92.1),86.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.9),14.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.3,6.7
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,2.7
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
82,Children under age 3 years breastfed within one hour of birth (%),66.1,50.7
83,Children under age 6 months exclusively breastfed (%),*,*
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet (%),(20.8),30.0
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet (%),18.8,32.5
88,Children under 5 years who are stunted (height-for-age) (%),26.7,33.1
89,Children under 5 years who are wasted (weight-for-height) (%),17.3,31.0
90,Children under 5 years who are severely wasted (weight-for-height) (%),7.7,17.1
91,Children under 5 years who are underweight (weight-for-age) (%),23.2,30.7
92,Children under 5 years who are overweight (weight-for-height) (%),8.5,5.0
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.8,12.7
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),39.5,23.2
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),62.2,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),45.9,53.3
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),44.4,51.2
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(30.5)
101,All women age 15-49 years who are anaemic (%),44.2,50.7
102,All women age 15-19 years who are anaemic (%),37.7,54.4
105,Women - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),6.5,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.6,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),8.2,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),5.9,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.0,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.0,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.9,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),34.2,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.9,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.8,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.9,na
124,Ever undergone a screening test for cervical cancer (%),23.2,na
125,Ever undergone a breast examination for breast cancer (%),12.3,na
126,Ever undergone an oral cavity examination for oral cancer (%),1.2,na
128,Women age 15 years and above who use any kind of tobacco (%),6.8,na
129,Men age 15 years and above who use any kind of tobacco (%),21.5,na
130,Women age 15 years and above who consume alcohol (%),1.1,na
131,Men age 15 years and above who consume alcohol (%),25.9,na
