,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),85.2,81.7
1,Population below age 15 years (%),19.7,21.2
2,"Sex ratio of the total population (females per 1,000 males)","1,093","1,056"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,035",949
4,Children under age 5 years whose birth was registered with the civil authority (%),98.7,99.7
5,Deaths in the last 3 years registered with the civil authority (%),96.6,na
6,Population living in households with electricity (%),98.6,97.6
7,Population living in households with an improved drinking-water source (%),96.4,94.6
8,Population living in households that use an improved sanitation facility(%),83.6,63.8
9,Households using clean fuel for cooking (%),81.5,69.9
10,Households using iodized salt (%),98.4,87.2
11,Households with any usual member covered under a health insurance/financing scheme (%),74.5,71.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.3,na
13,Women who are literate (%),89.1,na
14,Women with 10 or more years of schooling (%),63.4,61.1
15,Women age 20-24 years married before age 18 years (%),11.1,18.7
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,1.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.7,90.9
19,Any method (%),77.9,56.5
20,Any modern method (%),74.7,55.8
21,Female sterilization (%),68.9,55.0
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),4.5,0.7
24,Pill (%),0.2,0.0
25,Condom (%),1.0,0.1
26,Injectables (%),0.1,0.0
27,Total unmet need(%),6.0,7.4
28,Unmet need for spacing (%),1.6,4.1
29,Health worker ever talked to female non-users about family planning (%),35.3,36.9
30,Current users ever told about side effects of current method (%),88.9,82.8
31,Mothers who had an antenatal check-up in the first trimester (%),80.0,72.7
32,Mothers who had at least 4 antenatal care visits (%),92.5,88.8
33,Mothers whose last birth was protected against neonatal tetanus (%),94.1,68.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),93.8,57.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),76.4,42.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,99.4
37,days of delivery (%),91.5,70.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,438","2,519"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),90.9,na
41,Institutional births (%),100.0,99.8
42,Institutional births in public facility (%),62.2,72.8
43,Home births that were conducted by skilled health personnel (%),0.0,0.0
44,Births attended by skilled health personnel (%),100.0,99.8
45,Births delivered by caesarean section (%),42.3,26.3
46,Births in a private health facility that were delivered by caesarean section (%),56.6,34.5
47,Births in a public health facility that were delivered by caesarean section (%),33.6,23.3
48,mother's recall (%),(90.1),78.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(98.0),(86.0)
50,Children age 12-23 months who have received BCG (%),(100.0),100.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(91.9),88.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),98.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(96.2),90.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(38.5),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(81.9),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(95.8),80.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.4,85.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(92.1),86.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(7.9),14.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.3,6.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,2.7
65,health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),66.1,50.7
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(20.8),30.0
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),18.8,32.5
72,Children under 5 years who are stunted (height-for-age) (%),26.7,33.1
73,Children under 5 years who are wasted (weight-for-height) (%),17.3,31.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.7,17.1
