Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),75.8,75.2
Population below age 15 years (%),17.8,22.2
"Sex ratio of the total population (females per 1,000 males)","1,114",986
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,016","1,066"
Children under age 5 years whose birth was registered with the civil authority (%),96.9,100.0
Deaths in the last 3 years registered with the civil authority (%),99.2,na
Population living in households with electricity (%),99.5,99.6
Population living in households with an improved drinking-water source (%),99.8,99.6
Population living in households that use an improved sanitation facility(%),75.9,51.4
Households using clean fuel for cooking (%),95.4,90.5
Households using iodized salt (%),98.3,93.1
Households with any usual member covered under a health insurance/financing scheme (%),59.9,62.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(19.2),na
Women who are literate (%),87.1,na
Women with 10 or more years of schooling (%),55.1,44.4
Women age 20-24 years married before age 18 years (%),10.5,15.7
Births in the 5 years preceding the survey that are third or higher order (%),0.7,0.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.1,4.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.5,94.5
Any method (%),69.3,63.1
Any modern method (%),66.0,63.0
Female sterilization (%),59.7,60.9
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),3.8,1.5
Pill (%),0.1,0.2
Condom (%),1.8,0.2
Injectables (%),0.0,0.2
Total unmet need(%),4.6,9.8
Unmet need for spacing (%),1.3,5.0
Health worker ever talked to female non-users about family planning (%),37.6,31.0
Current users ever told about side effects of current method (%),87.4,82.4
Mothers who had an antenatal check-up in the first trimester (%),68.6,84.6
Mothers who had at least 4 antenatal care visits (%),93.5,89.5
Mothers whose last birth was protected against neonatal tetanus (%),95.0,80.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),95.0,68.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),74.2,37.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,98.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),98.4,79.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,017","2,443"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),99.3,na
Institutional births (%),100.0,100.0
Institutional births in public facility (%),61.0,73.4
Home births that were conducted by skilled health personnel (%),0.0,0.0
Births attended by skilled health personnel (%),100.0,100.0
Births delivered by caesarean section (%),46.4,35.0
Births in a private health facility that were delivered by caesarean section (%),54.1,36.8
Births in a public health facility that were delivered by caesarean section (%),41.5,34.3
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),*,93.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*,(93.3)
Children age 12-23 months who have received BCG (%),*,100.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),*,97.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),*,97.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),*,93.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),*,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),*,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),*,78.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.2,90.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),*,90.2
Children age 12-23 months who received most of their vaccinations in a private health facility (%),*,9.8
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.5,7.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7,0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),60.1,58.7
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
