,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),80.0,75.5
2,Population below age 15 years (%),22.4,25.7
3,"Sex ratio of the total population (females per 1,000 males)","1,070","1,037"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",722,"1,113"
5,Children under age 5 years whose birth was registered with the civil authority (%),96.5,99.7
6,Deaths in the last 3 years registered with the civil authority (%),91.7,na
7,Population living in households with electricity (%),99.3,99.5
8,Population living in households with an improved drinking-water source (%),97.7,98.9
9,Population living in households that use an improved sanitation facility(%),76.2,54.5
10,Households using clean fuel for cooking (%),85.3,78.2
11,Households using iodized salt (%),93.8,87.0
12,Households with any usual member covered under a health insurance/financing scheme (%),71.4,71.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(16.6),na
15,Women who are literate (%),81.6,na
16,Women with 10 or more years of schooling (%),52.5,49.7
18,Women age 20-24 years married before age 18 years (%),14.9,12.0
19,Births in the 5 years preceding the survey that are third or higher order (%),1.9,3.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.9,3.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.5,94.9
23,Any method (%),65.2,64.0
24,Any modern method (%),63.2,63.5
25,Female sterilization (%),59.5,61.7
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),3.1,1.2
28,Pill (%),0.0,0.3
29,Condom (%),0.5,0.2
30,Injectables (%),0.2,0.0
32,Total unmet need(%),6.7,10.2
33,Unmet need for spacing (%),3.6,5.2
35,Health worker ever talked to female non-users about family planning (%),32.7,20.4
36,Current users ever told about side effects of current method (%),98.9,83.3
39,Mothers who had an antenatal check-up in the first trimester (%),84.4,82.2
40,Mothers who had at least 4 antenatal care visits (%),95.4,92.5
41,Mothers whose last birth was protected against neonatal tetanus (%),96.8,82.6
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),94.2,69.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),84.6,42.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.5
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),98.6,71.4
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,272","1,547"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),96.7,na
52,Institutional births (%),99.5,100.0
53,Institutional births in public facility (%),67.6,70.8
54,Home births that were conducted by skilled health personnel (%),0.5,0.0
55,Births attended by skilled health personnel (%),100.0,100.0
56,Births delivered by caesarean section (%),42.4,25.7
57,Births in a private health facility that were delivered by caesarean section (%),43.9,38.9
58,Births in a public health facility that were delivered by caesarean section (%),42.1,20.3
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),92.7,74.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),97.2,87.6
63,Children age 12-23 months who have received BCG (%),97.0,93.8
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),93.9,84.1
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.3,92.3
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.5,83.6
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),46.4,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),80.8,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),91.2,75.0
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.6,77.9
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),86.1,78.8
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),13.9,21.2
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.8,8.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,2.1
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(82.7)
82,Children under age 3 years breastfed within one hour of birth (%),76.4,71.2
83,Children under age 6 months exclusively breastfed (%),*,(43.5)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet (%),8.8,(26.0)
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(53.2)
87,Total children age 6-23 months receiving an adequate diet (%),9.9,37.5
88,Children under 5 years who are stunted (height-for-age) (%),29.8,29.0
89,Children under 5 years who are wasted (weight-for-height) (%),13.1,27.5
90,Children under 5 years who are severely wasted (weight-for-height) (%),2.5,12.0
91,Children under 5 years who are underweight (weight-for-age) (%),19.7,32.6
92,Children under 5 years who are overweight (weight-for-height) (%),4.2,2.3
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.4,14.4
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),45.4,34.3
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.5,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),60.9,50.4
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),50.7,55.8
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(48.3)
101,All women age 15-49 years who are anaemic (%),50.6,55.5
102,All women age 15-19 years who are anaemic (%),47.2,50.8
105,Women - Blood sugar level - high (141-160 mg/dl)(%),8.1,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),11.1,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.4,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),8.0,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),12.4,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.4,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.1,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.1,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.9,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.4,na
