Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),75.9,52.4,60.9,62.6
Population below age 15 years (%),23.4,22.0,22.5,25.1
"Sex ratio of the total population (females per 1,000 males)","1,015","1,070","1,049","1,007"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",873,907,894,872
Children under age 5 years whose birth was registered with the civil authority (%),92.9,88.0,90.0,83.1
Deaths in the last 3 years registered with the civil authority (%),79.0,71.3,73.5,na
Population living in households with electricity (%),99.8,99.4,99.6,98.9
Population living in households with an improved drinking-water source (%),99.4,98.4,98.7,97.7
Population living in households that use an improved sanitation facility(%),81.8,72.9,76.2,52.3
Households using clean fuel for cooking (%),98.2,88.3,91.8,67.3
Households using iodized salt (%),97.8,94.8,95.8,95.8
Households with any usual member covered under a health insurance/financing scheme (%),52.9,65.0,60.8,66.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.7,14.3,15.3,na
Women who are literate (%),81.0,58.1,66.6,na
Men who are literate (%),90.2,81.3,84.8,na
Women with 10 or more years of schooling (%),60.9,36.3,45.5,43.6
Men with 10 or more years of schooling (%),71.0,54.6,61.2,54.5
Women who have ever used the internet (%),43.9,15.8,26.5,na
Men who have ever used the internet (%),72.3,46.7,57.4,na
Women age 20-24 years married before age 18 years (%),16.7,27.4,23.5,26.2
Men age 25-29 years married before age 21 years (%),9.1,21.1,16.3,17.8
Total fertility rate (children per woman),1.8,1.7,1.8,1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,7.4,5.8,10.6
Adolescent fertility rate for women age 15-19 years,34,56,48,67
Neonatal mortality rate (NNMR),13.8,18.8,16.8,20.0
Infant mortality rate (IMR),22.0,29.3,26.4,27.7
Under-five mortality rate (U5MR),24.7,32.4,29.4,31.7
Any method (%),69.0,67.6,68.1,57.2
Any modern method (%),66.9,66.5,66.7,57.0
Female sterilization (%),61.3,62.2,61.9,54.2
