,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),47.8
2,Population below age 15 years (%),26.8
3,"Sex ratio of the total population (females per 1,000 males)","1,037"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",853
5,Children under age 5 years whose birth was registered with the civil authority (%),81.7
6,Deaths in the last 3 years registered with the civil authority (%),72.8
7,Population living in households with electricity (%),99.8
8,Population living in households with an improved drinking-water source (%),97.0
9,Population living in households that use an improved sanitation facility(%),73.7
10,Households using clean fuel for cooking (%),86.1
11,Households using iodized salt (%),85.3
12,Households with any usual member covered under a health insurance/financing scheme (%),61.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.5
15,Women who are literate (%),45.0
16,Women with 10 or more years of schooling (%),27.4
18,Women age 20-24 years married before age 18 years (%),34.6
19,Births in the 5 years preceding the survey that are third or higher order (%),2.2
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),15.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.3
23,Any method (%),75.5
24,Any modern method (%),74.9
25,Female sterilization (%),71.5
26,Male sterilization (%),0.0
27,IUD/PPIUD (%),0.5
28,Pill (%),0.2
29,Condom (%),0.1
30,Injectables (%),0.0
32,Total unmet need(%),2.6
33,Unmet need for spacing (%),1.6
35,Health worker ever talked to female non-users about family planning (%),24.7
36,Current users ever told about side effects of current method (%),43.3
38,Mothers who had an antenatal check-up in the first trimester (%),88.3
39,Mothers who had at least 4 antenatal care visits (%),72.9
40,Mothers whose last birth was protected against neonatal tetanus (%),92.6
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.6
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.5
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,832"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.2
51,Institutional births (%),94.2
52,Institutional births in public facility (%),46.5
53,Home births that were conducted by skilled health personnel (%),2.5
54,Births attended by skilled health personnel (%),91.7
55,Births delivered by caesarean section (%),41.7
56,Births in a private health facility that were delivered by caesarean section (%),65.8
57,Births in a public health facility that were delivered by caesarean section (%),22.2
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),86.9
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.3
61,Children age 12-23 months who have received BCG (%),95.2
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.9
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.4
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.5
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.6
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.4
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.0
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.8
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.2
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.4
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.7
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),88.7
79,Children under age 3 years breastfed within one hour of birth (%),40.0
80,Children under age 6 months exclusively breastfed (%),(76.7)
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
82,Breastfeeding children age 6-23 months receiving an adequate diet (%),6.8
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
84,Total children age 6-23 months receiving an adequate diet (%),7.2
85,Children under 5 years who are stunted (height-for-age) (%),49.7
86,Children under 5 years who are wasted (weight-for-height) (%),17.3
87,Children under 5 years who are severely wasted (weight-for-height) (%),4.9
88,Children under 5 years who are underweight (weight-for-age) (%),41.7
89,Children under 5 years who are overweight (weight-for-height) (%),2.8
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),27.5
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),21.9
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),29.9
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),82.4
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),64.1
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(76.9)
98,All women age 15-49 years who are anaemic (%),64.6
99,All women age 15-19 years who are anaemic (%),66.9
102,Women - Blood sugar level - high (141-160 mg/dl)(%),3.4
103,Women - Blood sugar level - very high (>160 mg/dl)(%),4.9
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.3
106,Men - Blood sugar level - high (141-160 mg/dl)(%),6.1
107,Men - Blood sugar level - very high (>160 mg/dl) (%),7.7
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.3
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.0
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.5
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.6
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.7
121,Ever undergone a screening test for cervical cancer (%),2.4
122,Ever undergone a breast examination for breast cancer (%),0.5
123,Ever undergone an oral cavity examination for oral cancer (%),3.2
125,Women age 15 years and above who use any kind of tobacco (%),9.7
126,Men age 15 years and above who use any kind of tobacco (%),23.7
127,Women age 15 years and above who consume alcohol (%),7.1
128,Men age 15 years and above who consume alcohol (%),34.6
