Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),61.8
Population below age 15 years (%),19.0
"Sex ratio of the total population (females per 1,000 males)","1,061"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",905
Children under age 5 years whose birth was registered with the civil authority (%),94.4
Deaths in the last 3 years registered with the civil authority (%),86.4
Population living in households with electricity (%),99.7
Population living in households with an improved drinking-water source (%),98.4
Population living in households that use an improved sanitation facility(%),84.5
Households using clean fuel for cooking (%),97.1
Households using iodized salt (%),96.6
Households with any usual member covered under a health insurance/financing scheme (%),60.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(8.6)
Women who are literate (%),66.3
Women with 10 or more years of schooling (%),40.9
Women age 20-24 years married before age 18 years (%),35.0
Births in the 5 years preceding the survey that are third or higher order (%),1.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.4
Any method (%),78.7
Any modern method (%),76.2
Female sterilization (%),73.8
Male sterilization (%),0.4
IUD/PPIUD (%),0.2
Pill (%),0.4
Condom (%),0.8
Injectables (%),0.0
Total unmet need(%),3.3
Unmet need for spacing (%),1.3
Health worker ever talked to female non-users about family planning (%),25.8
Current users ever told about side effects of current method (%),54.9
Mothers who had an antenatal check-up in the first trimester (%),84.9
Mothers who had at least 4 antenatal care visits (%),76.3
Mothers whose last birth was protected against neonatal tetanus (%),97.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),66.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,771"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5
Institutional births (%),97.9
Institutional births in public facility (%),39.0
Home births that were conducted by skilled health personnel (%),0.5
Births attended by skilled health personnel (%),93.2
Births delivered by caesarean section (%),69.2
Births in a private health facility that were delivered by caesarean section (%),78.0
Births in a public health facility that were delivered by caesarean section (%),59.7
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(86.6)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.3)
Children age 12-23 months who have received BCG (%),(95.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(89.2)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.4)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.0)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(31.5)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.7)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(92.4)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.1)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(4.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),9.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(73.3)
Children under age 3 years breastfed within one hour of birth (%),30.6
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(7.2)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),(8.7)
Children under 5 years who are stunted (height-for-age) (%),22.2
Children under 5 years who are wasted (weight-for-height) (%),24.7
Children under 5 years who are severely wasted (weight-for-height) (%),15.0
Children under 5 years who are underweight (weight-for-age) (%),26.2
Children under 5 years who are overweight (weight-for-height) (%),6.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),36.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),55.0
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),60.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(68.8)
All women age 15-49 years who are anaemic (%),62.4
All women age 15-19 years who are anaemic (%),61.7
Women - Blood sugar level - high (141-160 mg/dl)(%),6.9
Women - Blood sugar level - very high (>160 mg/dl)(%),8.3
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.7
Men - Blood sugar level - high (141-160 mg/dl)(%),6.7
Men - Blood sugar level - very high (>160 mg/dl) (%),9.0
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.7
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.9
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.6
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.6
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.1
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.2
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),30.8
Ever undergone a screening test for cervical cancer (%),2.2
Ever undergone a breast examination for breast cancer (%),0.3
Ever undergone an oral cavity examination for oral cancer (%),2.1
Women age 15 years and above who use any kind of tobacco (%),2.0
Men age 15 years and above who use any kind of tobacco (%),19.5
Women age 15 years and above who consume alcohol (%),1.3
Men age 15 years and above who consume alcohol (%),31.8
