,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),72.9
1,Population below age 15 years (%),23.1
2,"Sex ratio of the total population (females per 1,000 males)",996
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",828
4,Children under age 5 years whose birth was registered with the civil authority (%),95.0
5,Deaths in the last 3 years registered with the civil authority (%),78.8
6,Population living in households with electricity (%),100.0
7,Population living in households with an improved drinking-water source (%),99.9
8,Population living in households that use an improved sanitation facility(%),86.2
9,Households using clean fuel for cooking (%),99.0
10,Households using iodized salt (%),98.8
11,Households with any usual member covered under a health insurance/financing scheme (%),53.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(19.8)
13,Women who are literate (%),79.5
14,Women with 10 or more years of schooling (%),59.3
15,Women age 20-24 years married before age 18 years (%),10.2
16,Births in the 5 years preceding the survey that are third or higher order (%),1.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.1
19,Any method (%),76.4
20,Any modern method (%),72.4
21,Female sterilization (%),65.8
22,Male sterilization (%),0.8
23,IUD/PPIUD (%),0.9
24,Pill (%),1.4
25,Condom (%),1.3
26,Injectables (%),0.6
27,Total unmet need(%),3.7
28,Unmet need for spacing (%),2.0
29,Health worker ever talked to female non-users about family planning (%),25.4
30,Current users ever told about side effects of current method (%),57.9
31,Mothers who had an antenatal check-up in the first trimester (%),89.4
32,Mothers who had at least 4 antenatal care visits (%),69.6
33,Mothers whose last birth was protected against neonatal tetanus (%),92.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2
37,delivery (%),90.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,534"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),90.1
41,Institutional births (%),98.3
42,Institutional births in public facility (%),39.4
43,Home births that were conducted by skilled health personnel (%),1.6
44,Births attended by skilled health personnel (%),96.2
45,Births delivered by caesarean section (%),61.0
46,Births in a private health facility that were delivered by caesarean section (%),72.9
47,Births in a public health facility that were delivered by caesarean section (%),45.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(76.1)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.6)
50,Children age 12-23 months who have received BCG (%),(87.1)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(79.9)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.4)
