Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),61.3
Population below age 15 years (%),18.1
"Sex ratio of the total population (females per 1,000 males)","1,028"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",913
Children under age 5 years whose birth was registered with the civil authority (%),87.9
Deaths in the last 3 years registered with the civil authority (%),69.8
Population living in households with electricity (%),99.5
Population living in households with an improved drinking-water source (%),98.0
Population living in households that use an improved sanitation facility(%),77.8
Households using clean fuel for cooking (%),96.6
Households using iodized salt (%),97.8
Households with any usual member covered under a health insurance/financing scheme (%),59.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(12.5)
Women who are literate (%),73.7
Women with 10 or more years of schooling (%),46.6
Women age 20-24 years married before age 18 years (%),13.6
Births in the 5 years preceding the survey that are third or higher order (%),0.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.2
Any method (%),66.1
Any modern method (%),64.8
Female sterilization (%),60.0
Male sterilization (%),3.3
IUD/PPIUD (%),0.1
Pill (%),0.5
Condom (%),0.3
Injectables (%),0.3
Total unmet need(%),8.3
Unmet need for spacing (%),3.1
Health worker ever talked to female non-users about family planning (%),16.9
Current users ever told about side effects of current method (%),44.5
Mothers who had an antenatal check-up in the first trimester (%),83.5
Mothers who had at least 4 antenatal care visits (%),77.9
Mothers whose last birth was protected against neonatal tetanus (%),87.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),61.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,850"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.8
Institutional births (%),96.5
Institutional births in public facility (%),45.8
Home births that were conducted by skilled health personnel (%),0.0
Births attended by skilled health personnel (%),96.2
Births delivered by caesarean section (%),71.6
Births in a private health facility that were delivered by caesarean section (%),88.8
Births in a public health facility that were delivered by caesarean section (%),58.2
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(73.1)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.4)
Children age 12-23 months who have received BCG (%),(100.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(76.1)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(97.0)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.0)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(34.9)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(94.5)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.3)
Children under age 3 years breastfed within one hour of birth (%),26.3
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(14.0)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),13.8
Children under 5 years who are stunted (height-for-age) (%),27.5
Children under 5 years who are wasted (weight-for-height) (%),28.8
Children under 5 years who are severely wasted (weight-for-height) (%),15.6
Children under 5 years who are underweight (weight-for-age) (%),33.1
Children under 5 years who are overweight (weight-for-height) (%),1.6
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),26.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),47.8
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),64.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
All women age 15-49 years who are anaemic (%),64.6
All women age 15-19 years who are anaemic (%),78.3
Women - Blood sugar level - high (141-160 mg/dl)(%),4.2
Women - Blood sugar level - very high (>160 mg/dl)(%),7.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.7
Men - Blood sugar level - high (141-160 mg/dl)(%),7.3
Men - Blood sugar level - very high (>160 mg/dl) (%),7.7
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.8
