District,Agency,Households,Women,Men
Adilabad,Karvy Data Management Services Ltd,913,965,156
Bhadradri Kothagudem,Karvy Data Management Services Ltd,893,945,136
Hyderabad,Karvy  Data  Management  Services  Ltd,703,642,84
Jagitial,Karvy Data Management Services Ltd,898,885,99
Jangoan,Karvy Data Management Services Ltd,888,843,108
Jayashankar Bhupalapally,Karvy Data Management Services Ltd,897,852,124
Jogulamba Gadwal,Karvy Data Management Services Ltd,890,975,125
Kamareddy,Karvy  Data  Management  Services  Ltd,899,857,134
Karimnagar,Karvy  Data  Management  Services  Ltd,874,853,114
Khammam,Karvy  Data  Management  Services  Ltd,893,906,132
Komaram Bheem Asifabad,Karvy Data Management Services Ltd,897,934,136
Mahabubabad,Karvy Data Management Services Ltd,888,903,121
Mahabubnagar,Karvy Data Management Services Ltd,907,1006,137
Mancherial,Karvy  Data  Management  Services  Ltd,890,846,118
Medak,Karvy Data Management Services Ltd,881,883,128
Medchal-Malkajgiri,Karvy Data Management Services Ltd,778,825,107
Nagarkurnool,Karvy  Data  Management  Services  Ltd,896,915,136
Nalgonda,Karvy Data Management Services Ltd,887,879,129
Nirmal,Karvy Data Management Services Ltd,899,851,107
Nizamabad,Karvy  Data  Management  Services  Ltd,891,891,107
Peddapalli,Karvy  Data  Management  Services  Ltd,892,861,142
Rajanna Sircilla,Karvy Data Management Services Ltd,907,901,125
Ranga Reddy,Karvy Data Management Services Ltd,852,935,104
Sangareddy,Karvy  Data  Management  Services  Ltd,892,911,119
Siddipet,Karvy Data Management Services Ltd,883,832,116
Suryapet,Karvy Data Management Services Ltd,893,851,125
Vikarabad,Karvy Data Management Services Ltd,880,929,132
Wanaparthy,Karvy  Data  Management  Services  Ltd,902,965,146
Warangal Rural,Karvy Data Management Services Ltd,904,830,123
Warangal Urban,Karvy Data Management Services Ltd,888,900,138
Yadadri Bhuvanagiri,Karvy Data Management Services Ltd,896,947,155
