,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),89.1,78.9,81.8,81.9
1,Population below age 15 years (%),19.6,25.4,23.7,24.5
2,"Sex ratio of the total population (females per 1,000 males)",956,"1,033","1,011",998
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,024","1,029","1,028",969
4,Children under age 5 years whose birth was registered with the civil authority (%),95.6,93.2,93.8,91.6
5,Deaths in the last 3 years registered with the civil authority (%),86.0,77.1,79.5,na
6,Population living in households with electricity (%),99.4,97.7,98.2,92.8
7,Population living in households with an improved drinking-water source (%),98.2,84.0,88.0,86.4
8,Population living in households that use an improved sanitation facility(%),78.5,71.6,73.6,63.7
9,Households using clean fuel for cooking (%),75.4,32.6,45.3,31.9
10,Households using iodized salt (%),99.6,99.4,99.5,99.1
11,Households with any usual member covered under a health insurance/financing scheme (%),24.9,36.5,33.0,58.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.8,22.1,24.2,na
13,Women who are literate (%),89.9,76.9,80.6,na
14,Men who are literate (%),93.5,86.0,88.2,na
15,Women with 10 or more years of schooling (%),36.6,17.9,23.2,23.4
16,Men with 10 or more years of schooling (%),39.7,25.1,29.4,35.5
17,Women who have ever used the internet (%),36.6,17.7,22.9,na
18,Men who have ever used the internet (%),47.0,45.2,45.7,na
19,Women age 20-24 years married before age 18 years (%),33.7,42.4,40.1,33.1
20,Men age 25-29 years married before age 21 years (%),*,23.9,20.4,16.2
21,Total fertility rate (children per woman),1.4,1.8,1.7,1.7
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.4,24.3,21.9,18.8
23,Adolescent fertility rate for women age 15-19 years,58,102,91,82
24,Neonatal mortality rate (NNMR),(13.9),25.5,22.9,13.2
25,Infant mortality rate (IMR),(23.2),41.8,37.6,26.7
26,Under-five mortality rate (U5MR),(24.4),49.0,43.3,32.7
27,Any method (%),76.9,68.9,71.2,64.1
28,Any modern method (%),53.4,47.4,49.1,42.8
29,Female sterilization (%),14.2,9.1,10.5,13.9
30,Male sterilization (%),0.0,0.0,0.0,0.0
31,IUD/PPIUD (%),0.0,0.6,0.4,0.6
32,Pill (%),33.0,32.6,32.8,26.3
33,Condom (%),5.0,2.6,3.3,1.9
