,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),78.9
1,Population below age 15 years (%),23.4
2,"Sex ratio of the total population (females per 1,000 males)","1,021"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",930
4,Children under age 5 years whose birth was registered with the civil authority (%),95.3
5,Deaths in the last 3 years registered with the civil authority (%),67.4
6,Population living in households with electricity (%),99.0
7,Population living in households with an improved drinking-water source (%),97.4
8,Population living in households that use an improved sanitation facility(%),75.4
9,Households using clean fuel for cooking (%),37.1
10,Households using iodized salt (%),99.7
11,Households with any usual member covered under a health insurance/financing scheme (%),31.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(17.6)
13,Women who are literate (%),79.6
14,Women with 10 or more years of schooling (%),21.7
15,Women age 20-24 years married before age 18 years (%),51.9
16,Births in the 5 years preceding the survey that are third or higher order (%),0.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),26.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.3
19,Any method (%),58.9
20,Any modern method (%),44.2
21,Female sterilization (%),10.9
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),0.8
24,Pill (%),26.3
25,Condom (%),2.7
26,Injectables (%),0.7
27,Total unmet need(%),15.3
28,Unmet need for spacing (%),3.9
29,Health worker ever talked to female non-users about family planning (%),9.8
30,Current users ever told about side effects of current method (%),39.6
31,Mothers who had an antenatal check-up in the first trimester (%),61.9
32,Mothers who had at least 4 antenatal care visits (%),52.8
33,Mothers whose last birth was protected against neonatal tetanus (%),90.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),18.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),72.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"8,389"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.1
41,Institutional births (%),87.7
42,Institutional births in public facility (%),81.7
43,Home births that were conducted by skilled health personnel (%),1.1
44,Births attended by skilled health personnel (%),87.2
45,Births delivered by caesarean section (%),21.8
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),21.3
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(70.3)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(78.6)
50,Children age 12-23 months who have received BCG (%),(97.6)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(78.1)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(84.7)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(18.8)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(60.8)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.8)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.4)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),61.6
66,Children under age 3 years breastfed within one hour of birth (%),46.4
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),12.8
72,Children under 5 years who are stunted (height-for-age) (%),34.5
73,Children under 5 years who are wasted (weight-for-height) (%),14.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.7
75,Children under 5 years who are underweight (weight-for-age) (%),21.0
76,Children under 5 years who are overweight (weight-for-height) (%),12.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),24.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),72.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),69.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(55.8)
83,All women age 15-49 years who are anaemic (%),69.4
84,All women age 15-19 years who are anaemic (%),70.4
85,Women - Blood sugar level - high (141-160 mg/dl)(%),8.7
86,Women - Blood sugar level - very high (>160 mg/dl)(%),8.6
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.2
88,Men - Blood sugar level - high (141-160 mg/dl)(%),10.0
89,Men - Blood sugar level - very high (>160 mg/dl) (%),11.3
