Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),68.0,63.8
Population below age 15 years (%),32.1,33.9
"Sex ratio of the total population (females per 1,000 males)","1,031",932
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,030",880
Children under age 5 years whose birth was registered with the civil authority (%),64.6,61.2
Deaths in the last 3 years registered with the civil authority (%),56.2,na
Population living in households with electricity (%),95.3,86.5
Population living in households with an improved drinking-water source (%),100.0,98.5
Population living in households that use an improved sanitation facility(%),69.4,41.1
Households using clean fuel for cooking (%),51.4,39.6
Households using iodized salt (%),96.9,93.8
Households with any usual member covered under a health insurance/financing scheme (%),17.6,4.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.3,na
Women who are literate (%),66.0,na
Women with 10 or more years of schooling (%),37.5,29.7
Women age 20-24 years married before age 18 years (%),15.8,23.2
Births in the 5 years preceding the survey that are third or higher order (%),3.9,6.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,6.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.6,58.5
Any method (%),68.2,58.7
Any modern method (%),39.7,37.6
Female sterilization (%),12.7,14.8
Male sterilization (%),0.2,0.1
IUD/PPIUD (%),2.7,2.4
Pill (%),2.3,3.7
Condom (%),20.3,16.1
Injectables (%),1.3,0.5
Total unmet need(%),6.4,12.7
Unmet need for spacing (%),1.6,4.9
Health worker ever talked to female non-users about family planning (%),27.7,12.9
Current users ever told about side effects of current method (%),69.0,66.2
Mothers who had an antenatal check-up in the first trimester (%),69.5,51.0
Mothers who had at least 4 antenatal care visits (%),44.7,28.0
Mothers whose last birth was protected against neonatal tetanus (%),93.9,86.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.2,11.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.6,4.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1,69.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),82.1,66.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,638","2,073"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.4,0.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),80.3,na
Institutional births (%),82.6,65.4
Institutional births in public facility (%),49.2,37.6
Home births that were conducted by skilled health personnel (%),2.9,10.0
Births attended by skilled health personnel (%),85.5,73.9
Births delivered by caesarean section (%),18.7,13.3
Births in a private health facility that were delivered by caesarean section (%),45.6,38.2
Births in a public health facility that were delivered by caesarean section (%),7.0,7.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),70.1,67.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.9,76.6
Children age 12-23 months who have received BCG (%),93.3,94.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),72.4,81.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.6,79.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),81.8,84.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.6,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),69.5,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.6,67.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.4,24.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),89.7,91.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.7,2.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.6,19.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(39.8),29.3
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(42.8),6.2
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(85.3),61.5
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,2.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(67.6),69.3
Children under age 3 years breastfed within one hour of birth (%),43.4,25.4
Children under age 6 months exclusively breastfed (%),(57.0),26.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(46.5),43.1
Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.1,5.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(12.3),3.0
Total children age 6-23 months receiving an adequate diet  (%),9.9,4.6
Children under 5 years who are stunted (height-for-age) (%),35.0,49.1
Children under 5 years who are wasted (weight-for-height) (%),10.9,14.6
Children under 5 years who are severely wasted (weight-for-height) (%),4.0,3.2
Children under 5 years who are underweight (weight-for-age) (%),26.3,38.2
Children under 5 years who are overweight (weight-for-height) (%),2.0,0.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.6,22.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.4,18.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),42.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.6,66.8
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.4,55.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(59.0),60.7
All women age 15-49 years who are anaemic (%),56.5,56.1
All women age 15-19 years who are anaemic (%),52.5,60.1
Women - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.3,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.8,na
Men - Blood sugar level - very high (>160 mg/dl) (%),6.1,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.9,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),18.2,na
