,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.1,58.8
2,Population below age 15 years (%),32.6,34.8
3,"Sex ratio of the total population (females per 1,000 males)","1,074","1,022"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951,"1,055"
5,Children under age 5 years whose birth was registered with the civil authority (%),68.1,68.7
6,Deaths in the last 3 years registered with the civil authority (%),24.5,na
7,Population living in households with electricity (%),74.8,52.3
8,Population living in households with an improved drinking-water source (%),98.8,99.3
9,Population living in households that use an improved sanitation facility(%),62.4,21.4
10,Households using clean fuel for cooking (%),47.8,27.9
11,Households using iodized salt (%),78.2,96.9
12,Households with any usual member covered under a health insurance/financing scheme (%),14.6,3.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.9,na
15,Women who are literate (%),56.1,na
16,Women with 10 or more years of schooling (%),29.5,25.7
18,Women age 20-24 years married before age 18 years (%),20.4,21.5
19,Births in the 5 years preceding the survey that are third or higher order (%),3.9,2.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,4.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.1,37.8
23,Any method (%),45.4,37.9
24,Any modern method (%),38.3,21.8
25,Female sterilization (%),9.8,8.8
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.6,1.7
28,Pill (%),3.5,0.7
29,Condom (%),19.3,10.6
30,Injectables (%),1.0,0.0
32,Total unmet need(%),21.4,19.1
33,Unmet need for spacing (%),7.9,7.9
35,Health worker ever talked to female non-users about family planning (%),19.4,14.1
36,Current users ever told about side effects of current method (%),65.0,(42.8)
