,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),54.9
1,Population below age 15 years (%),35.3
2,"Sex ratio of the total population (females per 1,000 males)",933
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",870
4,Children under age 5 years whose birth was registered with the civil authority (%),59.2
5,Deaths in the last 3 years registered with the civil authority (%),44.3
6,Population living in households with electricity (%),80.7
7,Population living in households with an improved drinking-water source (%),99.8
8,Population living in households that use an improved sanitation facility(%),69.7
9,Households using clean fuel for cooking (%),39.8
10,Households using iodized salt (%),91.4
11,Households with any usual member covered under a health insurance/financing scheme (%),13.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.2
13,Women who are literate (%),49.7
14,Women with 10 or more years of schooling (%),21.6
15,Women age 20-24 years married before age 18 years (%),22.9
16,Births in the 5 years preceding the survey that are third or higher order (%),4.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.8
19,Any method (%),76.9
20,Any modern method (%),42.0
21,Female sterilization (%),7.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),1.2
24,Pill (%),2.8
25,Condom (%),26.4
26,Injectables (%),1.3
27,Total unmet need(%),4.3
28,Unmet need for spacing (%),1.5
29,Health worker ever talked to female non-users about family planning (%),16.6
30,Current users ever told about side effects of current method (%),(80.3)
31,Mothers who had an antenatal check-up in the first trimester (%),58.5
32,Mothers who had at least 4 antenatal care visits (%),40.6
33,Mothers whose last birth was protected against neonatal tetanus (%),90.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),1.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),62.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,622"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.1
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),59.4
41,Institutional births (%),72.3
42,Institutional births in public facility (%),57.4
43,Home births that were conducted by skilled health personnel (%),2.8
44,Births attended by skilled health personnel (%),73.1
45,Births delivered by caesarean section (%),5.7
46,Births in a private health facility that were delivered by caesarean section (%),20.9
47,Births in a public health facility that were delivered by caesarean section (%),4.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),74.5
50,Children age 12-23 months who have received BCG (%),93.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),73.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.6
