,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),74.6,72.5
1,Population below age 15 years (%),29.4,32.0
2,"Sex ratio of the total population (females per 1,000 males)",968,935
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",799,813
4,Children under age 5 years whose birth was registered with the civil authority (%),74.3,63.4
5,Deaths in the last 3 years registered with the civil authority (%),49.0,na
6,Population living in households with electricity (%),95.7,92.0
7,Population living in households with an improved drinking-water source (%),99.5,99.2
8,Population living in households that use an improved sanitation facility(%),78.1,30.2
9,Households using clean fuel for cooking (%),48.6,26.9
10,Households using iodized salt (%),77.2,94.3
11,Households with any usual member covered under a health insurance/financing scheme (%),17.9,10.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.9,na
13,Women who are literate (%),77.4,na
14,Women with 10 or more years of schooling (%),45.7,38.9
15,Women age 20-24 years married before age 18 years (%),16.3,22.8
16,Births in the 5 years preceding the survey that are third or higher order (%),2.6,5.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2,5.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),76.5,54.5
19,Any method (%),71.0,51.4
20,Any modern method (%),48.9,24.4
21,Female sterilization (%),14.4,12.7
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),1.1,1.1
24,Pill (%),4.8,1.2
25,Condom (%),26.9,8.3
26,Injectables (%),1.4,0.2
27,Total unmet need(%),8.3,18.5
28,Unmet need for spacing (%),2.4,6.5
29,Health worker ever talked to female non-users about family planning (%),27.5,3.9
30,Current users ever told about side effects of current method (%),65.4,(45.6)
31,Mothers who had an antenatal check-up in the first trimester (%),67.9,57.2
32,Mothers who had at least 4 antenatal care visits (%),43.7,24.2
33,Mothers whose last birth was protected against neonatal tetanus (%),93.6,84.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.7,7.4
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.1,1.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.6,89.7
37,days of delivery (%),79.3,60.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,692","1,312"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,1.6
40,days of delivery (%),79.5,na
41,Institutional births (%),85.2,75.2
42,Institutional births in public facility (%),70.1,61.0
43,Home births that were conducted by skilled health personnel (%),3.1,1.9
44,Births attended by skilled health personnel (%),88.0,75.8
45,Births delivered by caesarean section (%),11.2,6.7
46,Births in a private health facility that were delivered by caesarean section (%),45.1,31.1
