,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),78.9
1,Population below age 15 years (%),24.9
2,"Sex ratio of the total population (females per 1,000 males)",930
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,182"
4,Children under age 5 years whose birth was registered with the civil authority (%),86.8
5,Deaths in the last 3 years registered with the civil authority (%),73.4
6,Population living in households with electricity (%),99.9
7,Population living in households with an improved drinking-water source (%),99.1
8,Population living in households that use an improved sanitation facility(%),84.5
9,Households using clean fuel for cooking (%),92.4
10,Households using iodized salt (%),96.3
11,Households with any usual member covered under a health insurance/financing scheme (%),20.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.6
13,Women who are literate (%),80.1
14,Women with 10 or more years of schooling (%),55.2
15,Women age 20-24 years married before age 18 years (%),8.0
16,Births in the 5 years preceding the survey that are third or higher order (%),3.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.7
19,Any method (%),72.7
20,Any modern method (%),51.1
21,Female sterilization (%),15.9
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),3.0
24,Pill (%),0.2
25,Condom (%),31.9
26,Injectables (%),0.0
27,Total unmet need(%),5.3
28,Unmet need for spacing (%),2.8
29,Health worker ever talked to female non-users about family planning (%),22.6
30,Current users ever told about side effects of current method (%),(95.5)
31,Mothers who had an antenatal check-up in the first trimester (%),77.2
32,Mothers who had at least 4 antenatal care visits (%),62.0
33,Mothers whose last birth was protected against neonatal tetanus (%),86.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.5
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),84.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,251"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(4.1)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),85.3
41,Institutional births (%),86.4
42,Institutional births in public facility (%),40.7
43,Home births that were conducted by skilled health personnel (%),4.1
44,Births attended by skilled health personnel (%),88.0
45,Births delivered by caesarean section (%),31.8
46,Births in a private health facility that were delivered by caesarean section (%),52.5
47,Births in a public health facility that were delivered by caesarean section (%),19.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),68.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(83.8)
50,Children age 12-23 months who have received BCG (%),90.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),73.2
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.1
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),82.0
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.4
