,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),71.9,66.3
2,Population below age 15 years (%),26.0,27.2
3,"Sex ratio of the total population (females per 1,000 males)",937,928
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",797,653
5,Children under age 5 years whose birth was registered with the civil authority (%),84.8,67.9
6,Deaths in the last 3 years registered with the civil authority (%),39.4,na
7,Population living in households with electricity (%),96.9,89.9
8,Population living in households with an improved drinking-water source (%),99.0,97.8
9,Population living in households that use an improved sanitation facility(%),80.2,49.1
10,Households using clean fuel for cooking (%),36.5,33.3
11,Households using iodized salt (%),91.4,84.6
12,Households with any usual member covered under a health insurance/financing scheme (%),17.6,4.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.9,na
15,Women who are literate (%),66.8,na
16,Women with 10 or more years of schooling (%),38.9,41.5
18,Women age 20-24 years married before age 18 years (%),16.9,22.1
19,Births in the 5 years preceding the survey that are third or higher order (%),2.6,6.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2,3.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.1,49.6
23,Any method (%),62.4,47.4
24,Any modern method (%),50.5,41.6
25,Female sterilization (%),35.2,31.1
26,Male sterilization (%),0.1,0.0
27,IUD/PPIUD (%),0.4,0.3
28,Pill (%),0.8,1.2
29,Condom (%),12.2,8.8
30,Injectables (%),0.1,0.0
32,Total unmet need(%),13.5,15.0
33,Unmet need for spacing (%),4.6,5.3
35,Health worker ever talked to female non-users about family planning (%),28.8,25.8
36,Current users ever told about side effects of current method (%),72.5,20.1
39,Mothers who had an antenatal check-up in the first trimester (%),67.9,51.5
40,Mothers who had at least 4 antenatal care visits (%),62.8,17.1
41,Mothers whose last birth was protected against neonatal tetanus (%),92.1,87.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),20.5,10.9
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.4,1.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.8,79.5
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.5,39.5
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,194","3,832"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.7),(2.9)
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),65.9,na
52,Institutional births (%),85.1,83.8
53,Institutional births in public facility (%),70.0,72.2
54,Home births that were conducted by skilled health personnel (%),6.1,2.1
55,Births attended by skilled health personnel (%),85.6,79.9
56,Births delivered by caesarean section (%),12.1,5.2
57,Births in a private health facility that were delivered by caesarean section (%),60.6,(31.0)
58,Births in a public health facility that were delivered by caesarean section (%),4.1,2.2
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),66.2,54.7
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),64.7,(79.6)
63,Children age 12-23 months who have received BCG (%),90.3,85.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),71.7,61.3
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),71.6,72.6
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),79.1,71.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),18.9,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),32.0,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),69.8,55.6
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),77.3,34.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,(96.2)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,(0.0)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.2,6.8
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,0.8
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
