Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),80.4,78.4
Population below age 15 years (%),24.5,24.8
"Sex ratio of the total population (females per 1,000 males)",925,889
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",816,944
Children under age 5 years whose birth was registered with the civil authority (%),84.0,65.0
Deaths in the last 3 years registered with the civil authority (%),46.2,na
Population living in households with electricity (%),89.3,85.2
Population living in households with an improved drinking-water source (%),98.8,99.5
Population living in households that use an improved sanitation facility(%),77.5,64.8
Households using clean fuel for cooking (%),76.9,70.8
Households using iodized salt (%),92.8,95.9
Households with any usual member covered under a health insurance/financing scheme (%),16.1,4.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),22.0,na
Women who are literate (%),81.3,na
Women with 10 or more years of schooling (%),58.5,59.7
Women age 20-24 years married before age 18 years (%),10.9,7.8
Births in the 5 years preceding the survey that are third or higher order (%),1.7,3.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.4,1.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),87.6,73.1
Any method (%),73.7,59.8
Any modern method (%),57.4,39.5
Female sterilization (%),12.8,16.4
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),3.0,2.4
Pill (%),3.6,1.5
Condom (%),33.1,18.6
Injectables (%),0.5,0.4
Total unmet need(%),6.8,11.2
Unmet need for spacing (%),2.3,4.8
Health worker ever talked to female non-users about family planning (%),17.5,10.0
Current users ever told about side effects of current method (%),65.5,61.4
Mothers who had an antenatal check-up in the first trimester (%),78.4,62.8
Mothers who had at least 4 antenatal care visits (%),69.9,36.0
Mothers whose last birth was protected against neonatal tetanus (%),95.0,90.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26.6,26.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.1,12.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.6,85.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),71.1,63.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,645","1,744"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(7.6),1.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),70.6,na
Institutional births (%),86.6,76.4
Institutional births in public facility (%),60.3,48.8
Home births that were conducted by skilled health personnel (%),5.0,3.5
Births attended by skilled health personnel (%),87.0,79.3
Births delivered by caesarean section (%),19.3,13.6
Births in a private health facility that were delivered by caesarean section (%),46.0,35.2
Births in a public health facility that were delivered by caesarean section (%),11.9,7.9
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),72.8,50.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(81.2),67.9
Children age 12-23 months who have received BCG (%),93.7,95.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),77.4,64.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),74.7,78.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.6,74.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.2,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),23.7,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),72.9,61.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),81.6,32.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.4),81.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(3.6),14.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.1,10.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,61.4
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,17.0
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,65.2
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9,2.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(46.2),69.6
Children under age 3 years breastfed within one hour of birth (%),34.8,33.6
Children under age 6 months exclusively breastfed (%),(53.9),(51.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(42.9)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.6,2.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(8.7)
Total children age 6-23 months receiving an adequate diet  (%),3.7,3.4
Children under 5 years who are stunted (height-for-age) (%),34.6,43.6
Children under 5 years who are wasted (weight-for-height) (%),21.4,24.1
Children under 5 years who are severely wasted (weight-for-height) (%),12.6,10.8
Children under 5 years who are underweight (weight-for-age) (%),27.8,41.8
Children under 5 years who are overweight (weight-for-height) (%),5.8,2.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.8,14.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),25.2,16.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),70.1,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.3,73.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.4,59.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(46.3),45.2
All women age 15-49 years who are anaemic (%),57.0,58.7
All women age 15-19 years who are anaemic (%),63.0,66.0
Women - Blood sugar level - high (141-160 mg/dl)(%),5.1,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.3,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),3.9,na
Men - Blood sugar level - very high (>160 mg/dl) (%),3.2,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.3,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.1,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.4,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),17.3,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.7,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),16.2,na
Ever undergone a screening test for cervical cancer (%),0.8,na
Ever undergone a breast examination for breast cancer (%),0.5,na
Ever undergone an oral cavity examination for oral cancer (%),1.0,na
Women age 15 years and above who use any kind of tobacco (%),9.5,na
Men age 15 years and above who use any kind of tobacco (%),46.8,na
Women age 15 years and above who consume alcohol (%),0.3,na
Men age 15 years and above who consume alcohol (%),15.1,na
