,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),62.2,58.6
1,Population below age 15 years (%),35.5,36.9
2,"Sex ratio of the total population (females per 1,000 males)","1,040",989
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",997,851
4,Children under age 5 years whose birth was registered with the civil authority (%),55.3,56.4
5,Deaths in the last 3 years registered with the civil authority (%),46.7,na
6,Population living in households with electricity (%),87.2,56.6
7,Population living in households with an improved drinking-water source (%),99.4,99.8
8,Population living in households that use an improved sanitation facility(%),69.8,23.3
9,Households using clean fuel for cooking (%),36.6,18.7
10,Households using iodized salt (%),84.2,97.4
11,Households with any usual member covered under a health insurance/financing scheme (%),15.1,2.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.7,na
13,Women who are literate (%),56.4,na
14,Women with 10 or more years of schooling (%),29.7,23.9
15,Women age 20-24 years married before age 18 years (%),23.2,21.0
16,Births in the 5 years preceding the survey that are third or higher order (%),5.0,6.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.6,7.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),55.4,35.0
19,Any method (%),65.2,60.0
20,Any modern method (%),31.3,27.5
21,Female sterilization (%),6.9,7.5
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),2.3,2.0
24,Pill (%),3.3,2.1
25,Condom (%),17.4,15.2
26,Injectables (%),0.6,0.7
27,Total unmet need(%),11.8,13.2
28,Unmet need for spacing (%),3.5,4.7
29,Health worker ever talked to female non-users about family planning (%),18.8,6.0
30,Current users ever told about side effects of current method (%),50.6,48.8
31,Mothers who had an antenatal check-up in the first trimester (%),61.2,41.7
32,Mothers who had at least 4 antenatal care visits (%),38.1,13.1
33,Mothers whose last birth was protected against neonatal tetanus (%),85.9,78.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),22.4,2.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.2,1.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.2,76.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),62.0,58.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,834","1,125"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.0,0.6
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),67.8,na
41,Institutional births (%),74.8,59.6
42,Institutional births in public facility (%),46.6,38.1
43,Home births that were conducted by skilled health personnel (%),3.9,3.4
44,Births attended by skilled health personnel (%),77.2,62.8
45,Births delivered by caesarean section (%),6.5,5.2
46,Births in a private health facility that were delivered by caesarean section (%),19.9,20.5
47,Births in a public health facility that were delivered by caesarean section (%),1.9,2.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),69.2,47.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),74.6,58.5
50,Children age 12-23 months who have received BCG (%),94.9,88.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.1,72.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.4,63.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.2,61.8
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.1,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),26.4,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.6,54.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),59.6,30.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.1,58.6
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.8,3.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.1,17.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),49.5,18.1
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),27.3,23.1
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),62.4,64.4
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.1,9.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),74.1,57.6
66,Children under age 3 years breastfed within one hour of birth (%),33.2,21.3
67,Children under age 6 months exclusively breastfed (%),67.7,49.8
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(51.7),(32.9)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.8,4.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(0.0)
71,Total children age 6-23 months receiving an adequate diet  (%),5.6,3.6
72,Children under 5 years who are stunted (height-for-age) (%),45.1,51.5
73,Children under 5 years who are wasted (weight-for-height) (%),19.3,11.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),9.9,4.1
75,Children under 5 years who are underweight (weight-for-age) (%),35.5,32.8
76,Children under 5 years who are overweight (weight-for-height) (%),4.6,1.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.7,28.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),20.7,13.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),46.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),80.8,40.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.1,34.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),44.8,28.7
83,All women age 15-49 years who are anaemic (%),64.6,34.4
84,All women age 15-19 years who are anaemic (%),64.1,24.8
85,Women - Blood sugar level - high (141-160 mg/dl)(%),3.6,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),2.8,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.7,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),6.4,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),3.2,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.3,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),16.5,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.8,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.8,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),19.5,na
97,Ever undergone a screening test for cervical cancer (%),0.6,na
98,Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),6.9,na
101,Men age 15 years and above who use any kind of tobacco (%),44.7,na
102,Women age 15 years and above who consume alcohol (%),0.4,na
103,Men age 15 years and above who consume alcohol (%),17.1,na
