Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),63.2,51.1
Population below age 15 years (%),34.9,38.8
"Sex ratio of the total population (females per 1,000 males)","1,069","1,024"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",972,"1,020"
Children under age 5 years whose birth was registered with the civil authority (%),82.4,53.4
Deaths in the last 3 years registered with the civil authority (%),56.2,na
Population living in households with electricity (%),78.7,50.8
Population living in households with an improved drinking-water source (%),98.3,97.1
Population living in households that use an improved sanitation facility(%),59.6,19.7
Households using clean fuel for cooking (%),37.0,18.6
Households using iodized salt (%),97.7,92.8
Households with any usual member covered under a health insurance/financing scheme (%),20.2,6.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.0,na
Women who are literate (%),58.6,na
Women with 10 or more years of schooling (%),31.9,20.0
Women age 20-24 years married before age 18 years (%),17.6,20.0
Births in the 5 years preceding the survey that are third or higher order (%),3.7,5.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,3.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),67.1,34.7
Any method (%),62.5,35.3
Any modern method (%),38.3,24.4
Female sterilization (%),19.3,17.3
Male sterilization (%),0.0,0.1
IUD/PPIUD (%),1.2,0.6
Pill (%),0.9,0.9
Condom (%),13.5,5.4
Injectables (%),0.7,0.0
Total unmet need(%),12.5,23.5
Unmet need for spacing (%),4.4,7.9
Health worker ever talked to female non-users about family planning (%),28.2,12.2
Current users ever told about side effects of current method (%),65.7,(35.6)
Mothers who had an antenatal check-up in the first trimester (%),72.2,26.5
Mothers who had at least 4 antenatal care visits (%),34.0,12.3
Mothers whose last birth was protected against neonatal tetanus (%),91.2,82.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.3,9.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.5,2.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.0,76.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),74.2,52.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,628","1,412"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0),1.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),67.9,na
Institutional births (%),88.6,72.5
Institutional births in public facility (%),72.3,62.4
Home births that were conducted by skilled health personnel (%),5.4,2.7
Births attended by skilled health personnel (%),92.8,74.6
Births delivered by caesarean section (%),8.9,4.1
Births in a private health facility that were delivered by caesarean section (%),39.7,32.9
Births in a public health facility that were delivered by caesarean section (%),3.4,1.2
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),65.7,37.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.1,(41.4)
Children age 12-23 months who have received BCG (%),92.0,88.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),70.7,61.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),73.8,56.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),79.1,63.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.2,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),57.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),73.6,38.3
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),79.8,38.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.9,85.5
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,5.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.9,4.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8,1.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(67.8),(64.9)
Children under age 3 years breastfed within one hour of birth (%),27.8,30.6
Children under age 6 months exclusively breastfed (%),(62.5),(35.1)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(34.6),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.9,0.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),6.1,0.0
Children under 5 years who are stunted (height-for-age) (%),40.2,50.1
Children under 5 years who are wasted (weight-for-height) (%),18.3,29.9
Children under 5 years who are severely wasted (weight-for-height) (%),4.3,13.5
Children under 5 years who are underweight (weight-for-age) (%),36.8,52.8
Children under 5 years who are overweight (weight-for-height) (%),0.8,1.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.1,34.3
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),17.3,8.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),44.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.5,67.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.6,58.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(49.6),58.0
All women age 15-49 years who are anaemic (%),54.4,58.4
All women age 15-19 years who are anaemic (%),54.8,60.5
Women - Blood sugar level - high (141-160 mg/dl)(%),6.7,na
Women - Blood sugar level - very high (>160 mg/dl)(%),4.5,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.2,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.5,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),5.0,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.4,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),9.4,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),6.7,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),10.0,na
Ever undergone a screening test for cervical cancer (%),0.5,na
Ever undergone a breast examination for breast cancer (%),0.2,na
Ever undergone an oral cavity examination for oral cancer (%),0.6,na
Women age 15 years and above who use any kind of tobacco (%),14.9,na
Men age 15 years and above who use any kind of tobacco (%),53.6,na
Women age 15 years and above who consume alcohol (%),0.2,na
Men age 15 years and above who consume alcohol (%),13.0,na
