,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),80.8,77.7
1,Population below age 15 years (%),23.5,25.3
2,"Sex ratio of the total population (females per 1,000 males)",950,919
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",981,870
4,Children under age 5 years whose birth was registered with the civil authority (%),86.0,79.4
5,Deaths in the last 3 years registered with the civil authority (%),51.9,na
6,Population living in households with electricity (%),96.8,93.8
7,Population living in households with an improved drinking-water source (%),99.8,99.2
8,Population living in households that use an improved sanitation facility(%),80.4,66.2
9,Households using clean fuel for cooking (%),78.3,76.1
10,Households using iodized salt (%),97.0,95.6
11,Households with any usual member covered under a health insurance/financing scheme (%),15.8,5.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.0,na
13,Women who are literate (%),78.4,na
14,Women with 10 or more years of schooling (%),51.9,56.3
15,Women age 20-24 years married before age 18 years (%),9.9,9.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2,1.5
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.1,0.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.8,69.4
19,Any method (%),56.5,51.6
20,Any modern method (%),40.2,39.1
21,Female sterilization (%),16.4,17.3
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),2.0,1.6
24,Pill (%),1.8,2.8
25,Condom (%),18.0,16.9
26,Injectables (%),0.6,0.6
27,Total unmet need(%),15.7,14.3
28,Unmet need for spacing (%),5.1,4.9
29,Health worker ever talked to female non-users about family planning (%),28.9,14.5
30,Current users ever told about side effects of current method (%),(77.2),40.6
31,Mothers who had an antenatal check-up in the first trimester (%),74.8,76.2
32,Mothers who had at least 4 antenatal care visits (%),53.1,51.6
33,Mothers whose last birth was protected against neonatal tetanus (%),96.0,92.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),22.8,18.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),15.9,5.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2,78.9
37,days of delivery (%),78.7,57.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,489","1,752"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(2.6)
40,days of delivery (%),71.3,na
41,Institutional births (%),91.3,88.1
42,Institutional births in public facility (%),47.2,51.6
43,Home births that were conducted by skilled health personnel (%),1.6,1.4
44,Births attended by skilled health personnel (%),87.9,88.6
45,Births delivered by caesarean section (%),36.7,25.8
46,Births in a private health facility that were delivered by caesarean section (%),55.9,49.5
47,Births in a public health facility that were delivered by caesarean section (%),25.6,14.9
48,mother's recall (%),68.9,58.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(84.5),57.7
50,Children age 12-23 months who have received BCG (%),87.5,92.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),73.1,64.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.2,72.2
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.7,79.9
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.0,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),61.3,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.8,61.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.2,43.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.1,87.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.9,10.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.9,9.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,26.4
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,16.4
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,66.7
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.4,2.0
65,health provider (%),*,77.9
66,Children under age 3 years breastfed within one hour of birth (%),19.8,22.3
67,Children under age 6 months exclusively breastfed (%),(71.7),(47.0)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),3.0,3.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),2.3,3.9
72,Children under 5 years who are stunted (height-for-age) (%),32.1,37.5
73,Children under 5 years who are wasted (weight-for-height) (%),11.5,33.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),1.4,17.9
75,Children under 5 years who are underweight (weight-for-age) (%),25.5,44.5
76,Children under 5 years who are overweight (weight-for-height) (%),2.0,1.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.7,14.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),34.8,22.5
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),50.4,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),52.9,72.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.9,59.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,35.4
83,All women age 15-49 years who are anaemic (%),55.8,58.4
84,All women age 15-19 years who are anaemic (%),52.8,65.3
85,Blood sugar level - high (141-160 mg/dl)(%),6.1,na
86,Blood sugar level - very high (>160 mg/dl)(%),7.8,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.7,na
88,Blood sugar level - high (141-160 mg/dl)(%),5.6,na
89,Blood sugar level - very high (>160 mg/dl) (%),9.5,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.5,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.4,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.4,na
93,blood pressure (%),21.2,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.2,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.0,na
96,blood pressure (%),22.8,na
97,Ever undergone a screening test for cervical cancer (%),1.1,na
98,Ever undergone a breast examination for breast cancer (%),0.0,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.4,na
100,Women age 15 years and above who use any kind of tobacco (%),7.7,na
101,Men age 15 years and above who use any kind of tobacco (%),39.2,na
102,Women age 15 years and above who consume alcohol (%),0.2,na
103,Men age 15 years and above who consume alcohol (%),14.2,na
