,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.2,60.7
2,Population below age 15 years (%),28.4,30.7
3,"Sex ratio of the total population (females per 1,000 males)",972,943
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,056",959
5,Children under age 5 years whose birth was registered with the civil authority (%),97.4,82.4
6,Deaths in the last 3 years registered with the civil authority (%),54.2,na
7,Population living in households with electricity (%),95.9,82.4
8,Population living in households with an improved drinking-water source (%),94.3,95.1
9,Population living in households that use an improved sanitation facility(%),69.0,36.5
10,Households using clean fuel for cooking (%),28.2,16.7
11,Households using iodized salt (%),93.8,93.4
12,Households with any usual member covered under a health insurance/financing scheme (%),16.2,3.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.2,na
15,Women who are literate (%),65.6,na
16,Women with 10 or more years of schooling (%),30.7,26.3
18,Women age 20-24 years married before age 18 years (%),20.8,25.9
19,Births in the 5 years preceding the survey that are third or higher order (%),4.2,2.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.0,3.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.9,44.8
23,Any method (%),61.6,64.0
24,Any modern method (%),52.0,48.0
25,Female sterilization (%),32.1,37.1
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),0.7,1.7
28,Pill (%),1.0,0.5
29,Condom (%),15.3,8.8
30,Injectables (%),0.5,0.0
32,Total unmet need(%),16.6,6.7
33,Unmet need for spacing (%),6.6,3.4
35,Health worker ever talked to female non-users about family planning (%),45.1,8.4
36,Current users ever told about side effects of current method (%),80.5,60.2
