,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),68.8,65.9
1,Population below age 15 years (%),27.2,35.5
2,"Sex ratio of the total population (females per 1,000 males)",989,"1,092"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",938,870
4,Children under age 5 years whose birth was registered with the civil authority (%),89.8,81.0
5,Deaths in the last 3 years registered with the civil authority (%),59.2,na
6,Population living in households with electricity (%),94.2,85.2
7,Population living in households with an improved drinking-water source (%),99.8,100.0
8,Population living in households that use an improved sanitation facility(%),75.1,28.5
9,Households using clean fuel for cooking (%),54.2,20.7
10,Households using iodized salt (%),98.4,95.2
11,Households with any usual member covered under a health insurance/financing scheme (%),16.0,1.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14.6,na
13,Women who are literate (%),72.0,na
14,Women with 10 or more years of schooling (%),53.1,40.7
15,Women age 20-24 years married before age 18 years (%),11.0,14.0
16,Births in the 5 years preceding the survey that are third or higher order (%),2.9,4.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.3,2.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),76.6,36.5
19,Any method (%),54.2,34.8
20,Any modern method (%),39.0,22.4
21,Female sterilization (%),11.8,17.1
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.4,0.7
24,Pill (%),7.1,0.8
25,Condom (%),16.5,3.8
26,Injectables (%),0.9,0.0
27,Total unmet need(%),16.8,20.3
28,Unmet need for spacing (%),7.2,8.1
29,Health worker ever talked to female non-users about family planning (%),27.3,7.5
30,Current users ever told about side effects of current method (%),84.2,54.9
31,Mothers who had an antenatal check-up in the first trimester (%),64.4,57.1
32,Mothers who had at least 4 antenatal care visits (%),43.2,39.0
33,Mothers whose last birth was protected against neonatal tetanus (%),97.5,92.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.6,6.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.4,2.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1,76.1
37,days of delivery (%),80.0,55.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,476","6,068"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,0.0
40,days of delivery (%),75.7,na
41,Institutional births (%),94.7,77.7
42,Institutional births in public facility (%),58.9,46.5
43,Home births that were conducted by skilled health personnel (%),2.7,5.8
44,Births attended by skilled health personnel (%),90.7,81.5
45,Births delivered by caesarean section (%),14.5,7.1
46,Births in a private health facility that were delivered by caesarean section (%),33.3,17.3
47,Births in a public health facility that were delivered by caesarean section (%),4.4,3.6
48,mother's recall (%),59.1,46.4
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),63.3,45.8
50,Children age 12-23 months who have received BCG (%),98.8,88.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),73.2,64.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),74.6,62.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.7,73.1
