Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),69.0,60.6
Population below age 15 years (%),31.9,34.8
"Sex ratio of the total population (females per 1,000 males)","1,003",955
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",812,967
Children under age 5 years whose birth was registered with the civil authority (%),87.4,43.7
Deaths in the last 3 years registered with the civil authority (%),44.4,na
Population living in households with electricity (%),92.7,71.8
Population living in households with an improved drinking-water source (%),96.9,87.4
Population living in households that use an improved sanitation facility(%),72.3,23.8
Households using clean fuel for cooking (%),42.5,17.7
Households using iodized salt (%),97.0,98.1
Households with any usual member covered under a health insurance/financing scheme (%),15.0,6.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.8,na
Women who are literate (%),70.9,na
Women with 10 or more years of schooling (%),43.8,34.4
Women age 20-24 years married before age 18 years (%),16.6,30.7
Births in the 5 years preceding the survey that are third or higher order (%),3.3,3.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.4,4.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.4,44.7
Any method (%),61.5,48.6
Any modern method (%),53.3,40.5
Female sterilization (%),32.4,36.1
Male sterilization (%),0.0,0.1
IUD/PPIUD (%),1.8,0.8
Pill (%),7.5,0.5
Condom (%),9.0,2.7
Injectables (%),0.9,0.2
Total unmet need(%),14.5,18.7
Unmet need for spacing (%),6.1,9.4
Health worker ever talked to female non-users about family planning (%),23.6,14.8
Current users ever told about side effects of current method (%),66.9,54.2
Mothers who had an antenatal check-up in the first trimester (%),55.7,35.3
Mothers who had at least 4 antenatal care visits (%),36.5,15.4
Mothers whose last birth was protected against neonatal tetanus (%),94.2,90.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),11.6,22.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.3,2.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1,91.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),69.8,45.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,576","1,312"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0),0.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),69.6,na
Institutional births (%),91.1,72.7
Institutional births in public facility (%),62.1,56.0
Home births that were conducted by skilled health personnel (%),1.6,6.4
Births attended by skilled health personnel (%),88.6,76.3
Births delivered by caesarean section (%),17.6,6.0
Births in a private health facility that were delivered by caesarean section (%),43.7,18.2
Births in a public health facility that were delivered by caesarean section (%),8.0,5.3
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),68.3,46.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.3,66.1
Children age 12-23 months who have received BCG (%),92.9,90.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.0,59.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.7,75.3
