,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),47.0,42.7
1,Population below age 15 years (%),40.2,43.2
2,"Sex ratio of the total population (females per 1,000 males)","1,037","1,042"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",971,911
4,Children under age 5 years whose birth was registered with the civil authority (%),75.5,34.4
5,Deaths in the last 3 years registered with the civil authority (%),34.6,na
6,Population living in households with electricity (%),73.7,29.4
7,Population living in households with an improved drinking-water source (%),99.3,97.6
8,Population living in households that use an improved sanitation facility(%),58.1,10.6
9,Households using clean fuel for cooking (%),36.9,9.2
10,Households using iodized salt (%),81.9,74.7
11,Households with any usual member covered under a health insurance/financing scheme (%),13.5,8.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.6,na
13,Women who are literate (%),39.1,na
14,Women with 10 or more years of schooling (%),15.9,9.3
15,Women age 20-24 years married before age 18 years (%),51.9,67.9
16,Births in the 5 years preceding the survey that are third or higher order (%),3.8,4.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.3,7.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),47.4,15.6
19,Any method (%),49.8,8.4
20,Any modern method (%),35.6,6.8
21,Female sterilization (%),6.9,4.1
22,Male sterilization (%),0.2,0.1
23,IUD/PPIUD (%),2.0,0.3
24,Pill (%),8.3,1.2
25,Condom (%),13.0,0.6
26,Injectables (%),4.4,0.5
27,Total unmet need(%),20.1,30.6
28,Unmet need for spacing (%),8.7,11.4
29,Health worker ever talked to female non-users about family planning (%),37.2,9.5
30,Current users ever told about side effects of current method (%),76.5,(37.1)
31,Mothers who had an antenatal check-up in the first trimester (%),42.2,18.3
32,Mothers who had at least 4 antenatal care visits (%),42.4,8.3
33,Mothers whose last birth was protected against neonatal tetanus (%),94.4,64.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),16.6,2.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.8,0.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.9,63.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),68.3,28.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,969","2,018"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.4
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),68.4,na
41,Institutional births (%),80.4,48.4
42,Institutional births in public facility (%),75.3,40.4
43,Home births that were conducted by skilled health personnel (%),6.1,8.4
44,Births attended by skilled health personnel (%),84.3,49.6
45,Births delivered by caesarean section (%),3.2,1.6
46,Births in a private health facility that were delivered by caesarean section (%),(28.0),10.8
