,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),57.7,56.3
2,Population below age 15 years (%),41.0,40.8
3,"Sex ratio of the total population (females per 1,000 males)","1,177","1,117"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",852,886
5,Children under age 5 years whose birth was registered with the civil authority (%),85.2,46.6
6,Deaths in the last 3 years registered with the civil authority (%),29.2,na
7,Population living in households with electricity (%),90.7,66.1
8,Population living in households with an improved drinking-water source (%),99.9,99.7
9,Population living in households that use an improved sanitation facility(%),42.8,16.3
10,Households using clean fuel for cooking (%),50.6,19.2
11,Households using iodized salt (%),99.0,96.0
12,Households with any usual member covered under a health insurance/financing scheme (%),12.2,5.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.6,na
15,Women who are literate (%),48.3,na
16,Women with 10 or more years of schooling (%),17.0,18.3
18,Women age 20-24 years married before age 18 years (%),33.9,45.2
19,Births in the 5 years preceding the survey that are third or higher order (%),2.8,3.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7,3.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),63.0,32.9
23,Any method (%),65.0,27.8
24,Any modern method (%),52.5,16.6
25,Female sterilization (%),6.1,7.5
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),1.9,0.9
28,Pill (%),15.9,1.9
29,Condom (%),22.9,5.1
30,Injectables (%),4.7,1.0
32,Total unmet need(%),14.4,29.5
33,Unmet need for spacing (%),6.2,10.4
35,Health worker ever talked to female non-users about family planning (%),36.1,8.9
36,Current users ever told about side effects of current method (%),93.2,53.7
