,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),62.1,59.8
1,Population below age 15 years (%),31.8,35.6
2,"Sex ratio of the total population (females per 1,000 males)",995,936
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",974,946
4,Children under age 5 years whose birth was registered with the civil authority (%),82.6,54.6
5,Deaths in the last 3 years registered with the civil authority (%),34.0,na
6,Population living in households with electricity (%),82.9,53.0
7,Population living in households with an improved drinking-water source (%),89.6,88.6
8,Population living in households that use an improved sanitation facility(%),70.6,21.7
9,Households using clean fuel for cooking (%),30.4,20.3
10,Households using iodized salt (%),98.2,98.2
11,Households with any usual member covered under a health insurance/financing scheme (%),19.7,15.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.0,na
13,Women who are literate (%),60.9,na
14,Women with 10 or more years of schooling (%),35.7,28.9
15,Women age 20-24 years married before age 18 years (%),17.7,33.0
16,Births in the 5 years preceding the survey that are third or higher order (%),4.9,5.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.9,5.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.9,36.2
19,Any method (%),67.1,44.5
20,Any modern method (%),53.6,39.7
21,Female sterilization (%),33.7,33.4
22,Male sterilization (%),0.1,0.1
23,IUD/PPIUD (%),0.8,0.6
24,Pill (%),7.6,1.0
25,Condom (%),9.9,4.1
26,Injectables (%),0.9,0.5
27,Total unmet need(%),11.6,18.5
28,Unmet need for spacing (%),4.7,9.2
29,Health worker ever talked to female non-users about family planning (%),21.9,19.5
30,Current users ever told about side effects of current method (%),64.8,53.9
31,Mothers who had an antenatal check-up in the first trimester (%),63.6,33.3
32,Mothers who had at least 4 antenatal care visits (%),36.4,22.3
33,Mothers whose last birth was protected against neonatal tetanus (%),86.0,83.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.0,21.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.5,4.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.8,92.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),59.9,38.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,924","1,861"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),57.4,na
41,Institutional births (%),76.8,57.4
42,Institutional births in public facility (%),56.8,45.1
43,Home births that were conducted by skilled health personnel (%),7.3,4.4
44,Births attended by skilled health personnel (%),77.1,59.7
45,Births delivered by caesarean section (%),11.8,6.9
46,Births in a private health facility that were delivered by caesarean section (%),48.6,43.9
47,Births in a public health facility that were delivered by caesarean section (%),3.7,3.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),72.7,30.3
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.3,(62.6)
50,Children age 12-23 months who have received BCG (%),93.6,80.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),80.2,48.3
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.6,69.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),81.5,64.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),20.5,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),51.4,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.6,47.4
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.1,54.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.9,90.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,5.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.0,13.0
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,36.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,26.1
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,59.5
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9,5.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(55.5),68.3
66,Children under age 3 years breastfed within one hour of birth (%),29.1,36.9
67,Children under age 6 months exclusively breastfed (%),66.8,(49.0)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),1.9,4.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),2.5,4.9
72,Children under 5 years who are stunted (height-for-age) (%),38.3,45.9
73,Children under 5 years who are wasted (weight-for-height) (%),26.8,22.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),17.4,7.0
75,Children under 5 years who are underweight (weight-for-age) (%),46.5,46.4
76,Children under 5 years who are overweight (weight-for-height) (%),0.9,2.7
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.9,24.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.3,13.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),60.9,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.0,58.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),44.2,60.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(52.9),52.4
83,All women age 15-49 years who are anaemic (%),44.5,60.5
84,All women age 15-19 years who are anaemic (%),44.2,52.9
85,Women - Blood sugar level - high (141-160 mg/dl)(%),5.1,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),2.6,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.9,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.8,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),5.0,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.3,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.9,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),19.0,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.0,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),21.4,na
97,Ever undergone a screening test for cervical cancer (%),2.8,na
98,Ever undergone a breast examination for breast cancer (%),0.0,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),5.8,na
101,Men age 15 years and above who use any kind of tobacco (%),54.1,na
102,Women age 15 years and above who consume alcohol (%),0.6,na
