,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),73.9,73.3
1,Population below age 15 years (%),24.6,29.5
2,"Sex ratio of the total population (females per 1,000 males)","1,174","1,144"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",940,879
4,Children under age 5 years whose birth was registered with the civil authority (%),94.7,69.5
5,Deaths in the last 3 years registered with the civil authority (%),76.1,na
6,Population living in households with electricity (%),99.8,97.6
7,Population living in households with an improved drinking-water source (%),92.0,82.7
8,Population living in households that use an improved sanitation facility(%),88.5,68.7
9,Households using clean fuel for cooking (%),34.6,23.0
10,Households using iodized salt (%),98.6,94.8
11,Households with any usual member covered under a health insurance/financing scheme (%),71.9,34.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),41.8,na
13,Women who are literate (%),87.2,na
14,Women with 10 or more years of schooling (%),52.2,42.8
15,Women age 20-24 years married before age 18 years (%),12.9,20.1
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,3.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7,4.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.2,76.1
19,Any method (%),78.8,57.9
20,Any modern method (%),66.4,54.7
21,Female sterilization (%),33.4,40.6
22,Male sterilization (%),4.2,2.8
23,IUD/PPIUD (%),1.5,2.2
24,Pill (%),2.6,0.9
25,Condom (%),23.1,8.2
26,Injectables (%),0.4,0.0
27,Total unmet need(%),8.4,17.8
28,Unmet need for spacing (%),2.9,6.7
29,Health worker ever talked to female non-users about family planning (%),17.3,15.7
30,Current users ever told about side effects of current method (%),58.2,54.4
31,Mothers who had an antenatal check-up in the first trimester (%),63.8,42.0
32,Mothers who had at least 4 antenatal care visits (%),67.9,23.4
33,Mothers whose last birth was protected against neonatal tetanus (%),94.8,92.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),42.4,23.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.1,10.1
