District,Agency,Households,Women,Men
Almora,Research and Development Initiative (RDI) Pvt. Ltd,975,938,91
Bageshwar,Research and Development Initiative (RDI) Pvt. Ltd,975,1008,113
Chamoli,Research and Development Initiative (RDI) Pvt. Ltd,929,1016,114
Champawat,Research and Development Initiative (RDI) Pvt. Ltd,979,1177,147
Dehradun,Research and Development Initiative (RDI) Pvt. Ltd,872,979,93
Haridwar,Research and Development Initiative (RDI) Pvt. Ltd,843,968,121
Nainital,Research and Development Initiative (RDI) Pvt. Ltd,939,1078,155
Pauri Garhwal,Research and Development Initiative (RDI) Pvt. Ltd,894,836,80
Pithoragarh,Research and Development Initiative (RDI) Pvt. Ltd,967,1085,145
Rudraprayag,Research and Development Initiative (RDI) Pvt. Ltd,962,1032,108
Tehri Garhwal,Research and Development Initiative (RDI) Pvt. Ltd,947,971,111
Udam Singh Nagar,Research and Development Initiative (RDI) Pvt. Ltd,940,1143,143
Uttarkashi,Research and Development Initiative (RDI) Pvt. Ltd,947,1049,165
