Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),70.5,68.3
Population below age 15 years (%),27.9,31.1
"Sex ratio of the total population (females per 1,000 males)",957,941
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,022",948
Children under age 5 years whose birth was registered with the civil authority (%),92.3,70.8
Deaths in the last 3 years registered with the civil authority (%),76.4,na
Population living in households with electricity (%),99.6,96.9
Population living in households with an improved drinking-water source (%),99.9,98.4
Population living in households that use an improved sanitation facility(%),70.9,60.0
Households using clean fuel for cooking (%),64.0,52.6
Households using iodized salt (%),95.9,96.3
Households with any usual member covered under a health insurance/financing scheme (%),59.0,10.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),31.4,na
Women who are literate (%),70.4,na
Women with 10 or more years of schooling (%),41.1,36.0
Women age 20-24 years married before age 18 years (%),14.6,18.8
Births in the 5 years preceding the survey that are third or higher order (%),2.1,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,4.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.6,61.3
Any method (%),67.2,38.0
Any modern method (%),51.9,35.1
Female sterilization (%),19.6,13.6
Male sterilization (%),0.2,0.0
IUD/PPIUD (%),1.1,1.3
Pill (%),1.7,2.7
Condom (%),28.4,17.3
Injectables (%),0.0,0.1
Total unmet need(%),7.2,19.1
Unmet need for spacing (%),2.1,7.3
Health worker ever talked to female non-users about family planning (%),22.8,13.7
Current users ever told about side effects of current method (%),(68.3),41.8
Mothers who had an antenatal check-up in the first trimester (%),77.3,46.4
Mothers who had at least 4 antenatal care visits (%),75.9,26.6
Mothers whose last birth was protected against neonatal tetanus (%),96.9,86.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.7,16.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.2,7.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.5,89.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),82.0,46.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,906","3,119"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.1),1.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),80.8,na
Institutional births (%),85.1,67.5
Institutional births in public facility (%),51.0,39.6
Home births that were conducted by skilled health personnel (%),3.6,8.8
Births attended by skilled health personnel (%),81.6,72.2
Births delivered by caesarean section (%),20.4,14.2
Births in a private health facility that were delivered by caesarean section (%),49.4,39.6
Births in a public health facility that were delivered by caesarean section (%),6.9,8.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),83.2,47.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.2,68.4
Children age 12-23 months who have received BCG (%),94.8,92.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),83.2,61.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.1,75.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.1,78.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),43.9,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.2,55.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),52.1,41.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.6,93.6
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,4.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,15.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,47.9
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,17.1
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,79.5
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,5.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(74.6),76.5
Children under age 3 years breastfed within one hour of birth (%),42.4,23.9
Children under age 6 months exclusively breastfed (%),(52.2),42.0
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(45.5)
Breastfeeding children age 6-23 months receiving an adequate diet (%),11.9,9.4
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(2.9),(18.8)
Total children age 6-23 months receiving an adequate diet (%),9.7,11.2
Children under 5 years who are stunted (height-for-age) (%),26.8,37.9
Children under 5 years who are wasted (weight-for-height) (%),12.4,12.0
Children under 5 years who are severely wasted (weight-for-height) (%),3.1,3.5
Children under 5 years who are underweight (weight-for-age) (%),22.0,27.0
Children under 5 years who are overweight (weight-for-height) (%),2.4,2.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.1,19.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),35.4,24.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),53.0,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),60.8,64.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.1,52.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(48.8),53.0
All women age 15-49 years who are anaemic (%),51.0,52.3
All women age 15-19 years who are anaemic (%),51.6,56.0
Women - Blood sugar level - high (141-160 mg/dl)(%),5.3,na
Women - Blood sugar level - very high (>160 mg/dl)(%),8.1,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.2,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.7,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.8,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.0,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.6,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),22.2,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.2,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.7,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),30.2,na
Ever undergone a screening test for cervical cancer (%),0.5,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.6,na
Women age 15 years and above who use any kind of tobacco (%),5.3,na
Men age 15 years and above who use any kind of tobacco (%),31.7,na
Women age 15 years and above who consume alcohol (%),0.4,na
Men age 15 years and above who consume alcohol (%),21.6,na
