,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),73.6,69.0
2,Population below age 15 years (%),25.7,25.4
3,"Sex ratio of the total population (females per 1,000 males)","1,033",968
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",934,865
5,Children under age 5 years whose birth was registered with the civil authority (%),99.2,97.7
6,Deaths in the last 3 years registered with the civil authority (%),75.2,na
7,Population living in households with electricity (%),97.8,96.4
8,Population living in households with an improved drinking-water source (%),99.4,97.7
9,Population living in households that use an improved sanitation facility(%),55.0,31.1
10,Households using clean fuel for cooking (%),28.1,15.5
11,Households using iodized salt (%),93.3,94.2
12,Households with any usual member covered under a health insurance/financing scheme (%),37.7,40.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.3,na
15,Women who are literate (%),70.8,na
16,Women with 10 or more years of schooling (%),25.8,22.1
18,Women age 20-24 years married before age 18 years (%),49.9,51.3
19,Births in the 5 years preceding the survey that are third or higher order (%),0.6,0.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),25.0,24.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.3,36.2
23,Any method (%),82.2,77.1
24,Any modern method (%),73.9,65.5
25,Female sterilization (%),41.3,37.4
26,Male sterilization (%),0.2,0.1
27,IUD/PPIUD (%),1.6,0.5
28,Pill (%),24.7,22.2
29,Condom (%),5.6,4.9
30,Injectables (%),0.3,0.4
32,Total unmet need(%),4.8,4.1
33,Unmet need for spacing (%),2.7,2.3
35,Health worker ever talked to female non-users about family planning (%),21.6,13.7
36,Current users ever told about side effects of current method (%),48.1,60.6
38,Mothers who had an antenatal check-up in the first trimester (%),81.9,50.8
39,Mothers who had at least 4 antenatal care visits (%),78.4,78.1
40,Mothers whose last birth was protected against neonatal tetanus (%),98.4,96.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.5,22.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.2,1.2
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,99.5
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.5,78.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,391","2,639"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(10.1),(3.6)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.7,na
51,Institutional births (%),90.3,86.3
52,Institutional births in public facility (%),72.7,74.1
53,Home births that were conducted by skilled health personnel (%),2.4,1.5
54,Births attended by skilled health personnel (%),92.2,88.2
55,Births delivered by caesarean section (%),25.4,17.3
56,Births in a private health facility that were delivered by caesarean section (%),92.2,(83.7)
57,Births in a public health facility that were delivered by caesarean section (%),12.6,9.6
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),81.6,91.4
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.9,96.6
62,Children age 12-23 months who have received BCG (%),95.2,100.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),84.8,92.9
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),98.4,91.4
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),98.4,98.5
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),43.3,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),96.8,92.9
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.4,78.0
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.9,100.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.5,5.6
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(68.1),*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(31.5),*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(74.7),*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.7,0.4
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),78.9,*
81,Children under age 3 years breastfed within one hour of birth (%),72.0,54.6
82,Children under age 6 months exclusively breastfed (%),(56.2),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),24.8,31.0
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),24.6,30.3
87,Children under 5 years who are stunted (height-for-age) (%),37.0,40.5
88,Children under 5 years who are wasted (weight-for-height) (%),25.5,29.5
89,Children under 5 years who are severely wasted (weight-for-height) (%),5.6,10.1
90,Children under 5 years who are underweight (weight-for-age) (%),41.8,43.1
91,Children under 5 years who are overweight (weight-for-height) (%),3.4,1.3
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.5,30.3
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),13.4,10.3
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),63.9,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.5,59.0
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),78.2,64.8
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(66.0),(39.8)
100,All women age 15-49 years who are anaemic (%),77.7,63.8
101,All women age 15-19 years who are anaemic (%),78.6,62.4
104,Women - Blood sugar level - high (141-160 mg/dl)(%),8.7,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),7.2,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.4,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),11.4,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),9.1,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.9,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.7,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.0,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.5,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.9,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.1,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.1,na
123,Ever undergone a screening test for cervical cancer (%),0.2,na
124,Ever undergone a breast examination for breast cancer (%),0.2,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),8.1,na
128,Men age 15 years and above who use any kind of tobacco (%),50.3,na
129,Women age 15 years and above who consume alcohol (%),1.7,na
130,Men age 15 years and above who consume alcohol (%),18.0,na
