,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),84.1,73.3,76.8,74.0
1,Population below age 15 years (%),20.2,25.1,23.5,25.4
2,"Sex ratio of the total population (females per 1,000 males)","1,016","1,065","1,049","1,011"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",921,993,973,960
4,Children under age 5 years whose birth was registered with the civil authority (%),98.1,98.3,98.2,96.9
5,Deaths in the last 3 years registered with the civil authority (%),88.0,74.6,78.6,na
6,Population living in households with electricity (%),99.3,96.6,97.5,94.3
7,Population living in households with an improved drinking-water source (%),98.6,96.9,97.5,97.2
8,Population living in households that use an improved sanitation facility(%),75.0,64.7,68.0,52.8
9,Households using clean fuel for cooking (%),80.3,20.5,40.2,27.8
10,Households using iodized salt (%),97.1,93.2,94.5,94.7
11,Households with any usual member covered under a health insurance/financing scheme (%),25.9,31.0,29.3,33.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),20.8,19.9,20.1,na
13,Women who are literate (%),83.4,72.5,76.1,na
14,Men who are literate (%),89.8,77.8,81.6,na
15,Women with 10 or more years of schooling (%),47.6,25.9,32.9,26.5
16,Men with 10 or more years of schooling (%),51.4,26.9,34.7,33.8
17,Women who have ever used the internet (%),48.1,14.0,25.5,na
18,Men who have ever used the internet (%),64.6,38.3,46.7,na
19,Women age 20-24 years married before age 18 years (%),26.2,48.1,41.6,41.6
20,Men age 25-29 years married before age 21 years (%),8.4,25.3,20.0,17.3
21,Total fertility rate (children per woman),1.4,1.7,1.6,1.8
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.5,19.6,16.4,18.3
23,Adolescent fertility rate for women age 15-19 years,51,93,81,90
24,Neonatal mortality rate (NNMR),16.1,15.3,15.5,22.0
25,Infant mortality rate (IMR),21.0,22.4,22.0,27.5
26,Under-five mortality rate (U5MR),23.0,26.2,25.4,31.8
27,Any method (%),77.5,73.0,74.4,70.9
28,Any modern method (%),61.0,60.6,60.7,57.0
29,Female sterilization (%),26.8,30.5,29.4,29.3
30,Male sterilization (%),0.1,0.1,0.1,0.1
31,IUD/PPIUD (%),2.0,2.3,2.2,1.2
32,Pill (%),20.1,20.4,20.3,20.0
33,Condom (%),10.1,5.6,7.0,5.9
34,Injectables (%),0.8,0.7,0.7,0.2
35,Total unmet need(%),5.2,7.8,7.0,7.5
36,Unmet need for spacing (%),2.0,3.4,3.0,3.0
37,Health worker ever talked to female non-users about family planning (%),16.4,18.1,17.5,12.3
38,Current users ever told about side effects of current method (%),54.0,53.4,53.6,49.6
39,Mothers who had an antenatal check-up in the first trimester (%),74.9,71.8,72.6,54.9
40,Mothers who had at least 4 antenatal care visits (%),81.2,73.8,75.8,76.4
41,Mothers whose last birth was protected against neonatal tetanus (%),96.0,94.2,94.6,95.4
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),64.4,61.8,62.5,28.0
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.6,29.7,30.8,6.0
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,99.1,98.4,97.4
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.1,65.7,68.0,61.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,675","2,686","2,683","7,919"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,10.4,8.8,4.6
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.1,75.9,76.8,na
49,Institutional births (%),92.3,91.6,91.7,75.2
50,Institutional births in public facility (%),62.8,75.8,72.4,56.6
51,Home births that were conducted by skilled health personnel (%),2.7,2.6,2.6,6.8
52,Births attended by skilled health personnel (%),95.2,93.7,94.1,81.6
53,Births delivered by caesarean section (%),43.5,28.6,32.6,23.8
54,Births in a private health facility that were delivered by caesarean section (%),80.2,84.4,82.7,70.9
55,Births in a public health facility that were delivered by caesarean section (%),31.7,20.3,22.9,18.8
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.6,89.3,87.8,84.4
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),88.1,91.8,90.8,92.5
58,Children age 12-23 months who have received BCG (%),97.5,99.0,98.6,97.5
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.3,92.7,90.8,87.9
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.1,95.6,95.0,92.7
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),92.4,95.1,94.4,92.8
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),35.8,47.5,44.4,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.0,1.4,1.8,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.3,92.6,92.0,86.4
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.0,69.3,68.4,75.0
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),90.2,98.5,96.3,96.6
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),8.7,0.3,2.5,3.2
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,6.7,6.5,5.9
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),76.9,74.8,75.3,64.7
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),36.0,35.9,36.0,20.8
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),78.1,74.3,75.2,74.7
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,3.1,2.8,3.3
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.3,69.5,71.3,73.5
74,Children under age 3 years breastfed within one hour of birth (%),60.7,59.0,59.4,47.4
75,Children under age 6 months exclusively breastfed (%),51.2,54.0,53.3,52.3
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),75.6,65.5,67.8,52.0
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),25.4,23.5,24.0,19.1
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(19.5),16.0,17.0,25.7
79,Total children age 6-23 months receiving an adequate diet  (%),24.9,22.9,23.4,19.6
80,Children under 5 years who are stunted (height-for-age) (%),32.1,34.4,33.8,32.5
81,Children under 5 years who are wasted (weight-for-height) (%),20.2,20.4,20.3,20.3
82,Children under 5 years who are severely wasted (weight-for-height) (%),7.9,6.9,7.1,6.5
83,Children under 5 years who are underweight (weight-for-age) (%),28.7,33.5,32.2,31.6
84,Children under 5 years who are overweight (weight-for-height) (%),6.0,3.6,4.3,2.1
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.5,17.4,14.8,21.3
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.5,16.8,15.1,19.9
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),27.9,20.3,22.7,19.9
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),20.0,14.5,16.2,14.2
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),80.1,72.1,74.7,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),60.5,55.7,57.2,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.0,71.3,69.0,54.2
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.2,74.8,71.7,62.8
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),60.3,63.0,62.3,53.6
94,All women age 15-49 years who are anaemic (%),65.1,74.4,71.4,62.5
95,All women age 15-19 years who are anaemic (%),64.7,73.2,70.8,62.2
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),30.9,42.4,38.9,30.3
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),27.6,42.8,38.7,31.7
98,Blood sugar level - high (141-160 mg/dl)(%),9.7,8.5,8.9,na
99,Blood sugar level - very high (>160 mg/dl)(%),8.6,7.2,7.7,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),19.4,16.5,17.5,na
101,Blood sugar level - high (141-160 mg/dl)(%),11.2,10.6,10.8,na
102,Blood sugar level - very high (>160 mg/dl) (%),10.6,9.0,9.5,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),23.1,20.4,21.3,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.3,11.1,11.5,na
