Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),74.7,70.8
Population below age 15 years (%),29.3,31.8
"Sex ratio of the total population (females per 1,000 males)","1,103","1,083"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,054","1,075"
Children under age 5 years whose birth was registered with the civil authority (%),99.4,98.9
Deaths in the last 3 years registered with the civil authority (%),74.1,na
Population living in households with electricity (%),96.7,93.1
Population living in households with an improved drinking-water source (%),99.1,100.0
Population living in households that use an improved sanitation facility(%),69.7,54.1
Households using clean fuel for cooking (%),30.7,19.2
Households using iodized salt (%),92.5,93.5
Households with any usual member covered under a health insurance/financing scheme (%),28.4,40.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.2,na
Women who are literate (%),67.6,na
Women with 10 or more years of schooling (%),24.2,22.3
Women age 20-24 years married before age 18 years (%),55.4,53.5
Births in the 5 years preceding the survey that are third or higher order (%),2.8,0.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),20.6,29.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),85.7,48.6
Any method (%),85.4,72.8
Any modern method (%),64.9,60.9
Female sterilization (%),39.6,40.5
Male sterilization (%),0.1,0.1
IUD/PPIUD (%),1.0,0.6
Pill (%),14.5,15.9
Condom (%),7.6,3.4
Injectables (%),0.3,0.3
Total unmet need(%),3.5,6.9
Unmet need for spacing (%),1.8,3.4
Health worker ever talked to female non-users about family planning (%),6.4,6.9
Current users ever told about side effects of current method (%),60.9,27.7
Mothers who had an antenatal check-up in the first trimester (%),73.9,49.1
Mothers who had at least 4 antenatal care visits (%),66.9,72.1
Mothers whose last birth was protected against neonatal tetanus (%),91.1,99.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.8,22.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.6,0.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.3,98.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),49.8,47.0
